pozycja,term,y0,prevalence_pct,kategoria_proponowana,kategoria_ocena,wariant_do,trafnosc,uwaga
111,osteoarthritis outcome score,2016,0.573,skala,skala,,,
112,significant risk factor,2022,0.572,,,,,
113,ll,2013,0.569,parametr,parametr,,,
114,all study,2015,0.563,metoda,metoda,,,
115,nrs,2016,0.561,skala,skala,numeric rating scale,,
116,odi score,2018,0.557,skala,skala,odi,,
117,asa,2016,0.553,czynnik,czynnik,,,
118,therapeutic level iii,2016,0.55,metoda,metoda,,,
119,pass,2019,0.544,metoda,metoda,,,
120,direct anterior approach,2014,0.531,technika,technika,,trafna,
121,current evidence,2012,0.524,metoda,metoda,,,
122,multivariable logistic regression,2017,0.524,metoda,metoda,,,
123,ndi,2016,0.512,skala,skala,clinical outcome score,,
124,primary aim,2017,0.511,metoda,metoda,,,
125,prospectively collected data,2013,0.508,metoda,metoda,,,
126,mhh,2014,0.508,skala,skala,modified harris hip score,,
127,pelvic tilt,2015,0.506,parametr,parametr,,,
128,significantly higher rate,2022,0.506,metoda,metoda,,,
129,cross sectional study,2018,0.503,metoda,metoda,,,
130,ovcf,2011,0.492,rozpoznanie,rozpoznanie,osteoporotic vertebral compression fracture,,
131,multivariate logistic regression analysis,2014,0.487,metoda,metoda,,,
132,potential risk factor,2017,0.486,metoda,metoda,,,
133,2 3,2023,0.483,,,,,
134,txa,2013,0.477,lek,lek,tranexamic acid,,
135,vas pain score,2014,0.476,skala,skala,vas,,
136,cinahl,2019,0.474,metoda,metoda,,,
137,femoroacetabular impingement syndrome,2018,0.471,rozpoznanie,rozpoznanie,,,
138,patient acceptable symptom state,2019,0.471,metoda,metoda,,,
139,continuous variable,2016,0.466,metoda,metoda,,,
140,implant survivorship,2016,0.464,wynik,wynik,,,
141,medicare,2015,0.461,organizacja,organizacja,,,
142,female sex,2017,0.461,metoda,metoda,,,
143,visual analog scale score,2017,0.46,skala,skala,vas,,
144,pelvic incidence,2014,0.46,parametr,parametr,,,
145,interquartile range,2018,0.46,metoda,metoda,,,
146,i2,2017,0.46,metoda,metoda,,,
147,demographic characteristic,2019,0.457,metoda,metoda,,,
148,two cohort,2021,0.45,metoda,metoda,,,
149,primary objective,2021,0.447,metoda,metoda,,,
150,china,2015,0.445,metoda,metoda,,,
151,icc,2015,0.438,metoda,metoda,,,
152,ldh,2015,0.438,rozpoznanie,rozpoznanie,lumbar disc herniation,,
153,eq 5d,2011,0.435,skala,skala,,,
154,2 0,2016,0.429,metoda,metoda,,,
155,pi,2014,0.425,parametr,parametr,pelvic incidence,,
156,4 3,2022,0.424,,,,,
157,data extraction,2015,0.424,metoda,metoda,,,
158,male sex,2018,0.424,metoda,metoda,,,
159,90 day readmission,2017,0.418,wynik,wynik,,,
160,1 0,2020,0.416,,,,,
161,secondary aim,2014,0.416,metoda,metoda,,,
162,cs,2020,0.411,metoda,metoda,,,
163,journal,2019,0.411,metoda,metoda,,,
164,daa,2015,0.411,technika,technika,direct anterior approach,,
165,covariate,2022,0.402,metoda,metoda,,,
166,intervention group,2022,0.399,metoda,metoda,,,
167,cci,2015,0.399,czynnik,czynnik,charlson comorbidity index,,
168,cage subsidence,2021,0.398,rozpoznanie,rozpoznanie,,,
169,12 month follow up,2016,0.396,metoda,metoda,,,
170,medical complication,2023,0.393,wynik,wynik,,,
171,lumbar degenerative disease,2018,0.393,rozpoznanie,rozpoznanie,,,
172,forgotten joint score,2019,0.393,skala,skala,,,
173,mean follow up duration,2023,0.39,,,,,
174,radiological parameter,2020,0.389,metoda,metoda,,,
175,english,2017,0.386,metoda,metoda,,,
176,enhanced recovery,2017,0.386,organizacja,organizacja,,,
177,risk ratio,2014,0.383,metoda,metoda,,,
178,hka,2019,0.382,parametr,parametr,hip knee ankle angle,,
179,sva,2014,0.38,parametr,parametr,sagittal vertical axis,,
180,mann whitney u test,2022,0.38,metoda,metoda,,,
181,smd,2014,0.376,metoda,metoda,,,
182,comprehensive search,2014,0.376,metoda,metoda,,,
183,smoking status,2015,0.374,metoda,metoda,,,
184,ase score,2016,0.37,skala,skala,subjective shoulder value,,
185,imn,2020,0.368,,,,,
186,proximal junctional kyphosis,2016,0.368,rozpoznanie,rozpoznanie,,,
187,readmission rate,2013,0.367,wynik,wynik,,,
188,rts,2018,0.366,wynik,wynik,,,
189,retrospective observational study,2015,0.364,metoda,metoda,,,
190,lateral lumbar interbody fusion,2013,0.363,technika,technika,,trafna,
191,secondary analysis,2019,0.363,metoda,metoda,,,
192,pod,2021,0.36,metoda,metoda,,,
193,mpta,2018,0.36,parametr,parametr,medial proximal tibial angle,,
194,taa,2015,0.358,technika,technika,total ankle arthroplasty,,
195,numeric rating scale,2014,0.358,skala,skala,,,
196,olif,2018,0.358,technika,technika,oblique lumbar interbody fusion,,
197,linear regression,2014,0.357,metoda,metoda,,,
198,similar outcome,2020,0.354,metoda,metoda,,,
199,prospero,2020,0.353,metoda,metoda,,,
200,existing literature,2022,0.351,metoda,metoda,,,
201,limited data,2023,0.35,metoda,metoda,,,
202,sagittal vertical axis,2014,0.35,parametr,parametr,,,
203,both cohort,2019,0.35,metoda,metoda,,,
204,secondary objective,2018,0.348,metoda,metoda,,,
205,cis,2013,0.348,metoda,metoda,,,
206,perioperative outcome,2014,0.347,wynik,wynik,,,
207,percutaneous kyphoplasty,2016,0.347,technika,technika,,trafna,
208,pkp,2016,0.347,technika,technika,percutaneous kyphoplasty,,
209,categorical variable,2019,0.345,metoda,metoda,,,
210,prognostic level iii,2016,0.344,metoda,metoda,,,
211,ss,2020,0.339,parametr,parametr,sacral slope,,
212,adjusted odd ratio,2017,0.339,metoda,metoda,,,
213,hip knee ankle angle,2019,0.339,parametr,parametr,,,
214,transfusion rate,2015,0.338,wynik,wynik,,,
215,mep,2013,0.338,technologia,technologia,motor evoked potential,,
216,minimum clinically important difference,2017,0.337,metoda,metoda,,,
217,covid 19,2020,0.337,rozpoznanie,rozpoznanie,,,
218,esr,2017,0.335,parametr,parametr,erythrocyte sedimentation rate,,
219,higher odd,2018,0.334,metoda,metoda,,,
220,retrospective case control study,2015,0.332,metoda,metoda,,,
221,ors,2017,0.332,metoda,metoda,,,
222,similar rate,2021,0.332,metoda,metoda,,,
223,all cause revision,2019,0.332,wynik,wynik,,,
224,sacral slope,2015,0.331,parametr,parametr,,,
225,electronic medical record,2013,0.331,technologia,technologia,,trafna,
226,posterior tibial slope,2021,0.331,parametr,parametr,,,
227,artificial intelligence,2021,0.331,technologia,technologia,,trafna,pownna być z machine learning
228,lld,2023,0.329,,,,,
229,mechanical complication,2021,0.329,wynik,wynik,,,
230,all participant,2015,0.328,metoda,metoda,,,
231,shorter operative time,2022,0.328,metoda,metoda,,,
232,quality assessment,2014,0.328,metoda,metoda,,,
233,reduction quality,2021,0.328,parametr,parametr,,,
234,confounder,2015,0.326,metoda,metoda,,,
235,medial proximal tibial angle,2019,0.324,parametr,parametr,,,
236,machine learning,2019,0.324,technologia,technologia,,trafna,powinna być z AI
237,provider,2018,0.321,metoda,metoda,,,
238,secondary outcome measure,2014,0.319,metoda,metoda,,,
239,correlation analysis,2020,0.319,metoda,metoda,,,
240,pts,2017,0.318,parametr,parametr,posterior tibial slope,,
241,two reviewer,2017,0.316,metoda,metoda,,,
242,trial registration number,2015,0.316,metoda,metoda,,,
243,roc curve,2021,0.316,metoda,metoda,,,
244,fjs,2019,0.315,skala,skala,forgotten joint score,,
245,lesson,2017,0.313,metoda,metoda,,,
246,discharge disposition,2015,0.313,organizacja,organizacja,,,
247,mean body mass index,2017,0.312,metoda,metoda,,,
248,anatomic total shoulder arthroplasty,2017,0.312,technika,technika,,trafna,
249,rtka,2019,0.312,niejasne,niejasne,,,
250,robotic assisted total knee arthroplasty,2021,0.312,technologia,technologia,,trafna,
251,disparity,2022,0.31,organizacja,organizacja,,,
252,mcs,2015,0.309,skala,skala,mental component score,,
253,sa,2016,0.308,metoda,metoda,,,
254,newcastle ottawa scale,2019,0.308,metoda,metoda,,,
255,covid 19 pandemic,2020,0.308,organizacja,organizacja,,,
256,ai,2019,0.306,technologia,technologia,artificial intelligence,,
257,study protocol,2015,0.302,metoda,metoda,,,
258,network meta analysis,2017,0.302,metoda,metoda,,,
259,pjis,2018,0.3,rozpoznanie,rozpoznanie,periprosthetic joint infection,,
260,fnf,2018,0.3,rozpoznanie,rozpoznanie,femoral neck fracture,,
261,mid term follow up,2013,0.299,metoda,metoda,,,
262,pjk,2016,0.297,rozpoznanie,rozpoznanie,proximal junctional kyphosis,,
263,fais,2019,0.296,rozpoznanie,rozpoznanie,femoroacetabular impingement syndrome,,
264,substantial clinical benefit,2019,0.295,metoda,metoda,,,
265,5 0,2023,0.293,metoda,metoda,,,
266,international classification,2011,0.292,metoda,metoda,,,
267,keyword,2015,0.29,metoda,metoda,,,
268,healthcare system,2019,0.289,organizacja,organizacja,,,
269,multivariate regression analysis,2014,0.287,metoda,metoda,,,
270,demographic information,2018,0.287,metoda,metoda,,,
271,matched cohort,2016,0.284,metoda,metoda,,,
272,standardized mean difference,2014,0.283,metoda,metoda,,,
273,lateral center edge angle,2015,0.283,parametr,parametr,,,
274,methodological index,2017,0.283,metoda,metoda,,,
275,observation group,2019,0.283,metoda,metoda,,,
276,frailty,2021,0.281,rozpoznanie,rozpoznanie,,,
277,independent sample t test,2021,0.28,metoda,metoda,,,
278,cnki,2015,0.279,metoda,metoda,,,
279,increased odd,2016,0.279,metoda,metoda,,,
280,1 1 ratio,2019,0.279,metoda,metoda,,,
281,retear,2018,0.277,rozpoznanie,rozpoznanie,,,
282,medial unicompartmental knee arthroplasty,2014,0.277,technika,technika,,trafna,
283,subjective shoulder value,2018,0.277,skala,skala,,,
284,ethnicity,2022,0.277,organizacja,organizacja,,,
285,aseptic revision,2017,0.277,wynik,wynik,,,
286,narrative review,2019,0.277,metoda,metoda,,,
287,mental health,2023,0.276,rozpoznanie,rozpoznanie,,,
288,included patient,2017,0.276,metoda,metoda,,,
289,receiver operating characteristic roc curve,2018,0.276,metoda,metoda,,,
290,3d printing,2017,0.273,technologia,technologia,,trafna,
291,pao,2012,0.271,technika,technika,periacetabular osteotomy,,
292,quick disability,2015,0.271,skala,skala,quickdash,,
293,mme,2019,0.271,wynik,wynik,morphine milligram equivalent,,
294,registry,2019,0.27,,,,,
295,numerical rating scale,2017,0.27,skala,skala,numeric rating scale,,
296,surgical duration,2017,0.27,wynik,wynik,,,
297,cochrane database,2017,0.268,metoda,metoda,,,
298,eligibility criterion,2015,0.268,metoda,metoda,,,
299,national database,2017,0.268,metoda,metoda,,,
300,cutoff value,2016,0.268,metoda,metoda,,,
301,mean bmi,2018,0.267,metoda,metoda,,,
302,geriatric patient,2022,0.265,czynnik,czynnik,,,
303,30 day readmission,2015,0.264,wynik,wynik,,,
304,cms,2015,0.264,metoda,metoda,,,
305,fai,2012,0.258,rozpoznanie,rozpoznanie,femoroacetabular impingement syndrome,,
306,cbct,2012,0.258,technologia,technologia,cone beam computed tomography,,
307,predictive model,2018,0.258,metoda,metoda,,,
308,csa,2019,0.257,parametr,parametr,critical shoulder angle,,
309,two independent reviewer,2021,0.257,metoda,metoda,,,
310,primary hip arthroscopy,2019,0.257,technika,technika,,trafna,
311,psi,2013,0.255,technologia,technologia,patient specific instrumentation,,
312,drf,2017,0.255,rozpoznanie,rozpoznanie,distal radius fracture,,
313,significantly lower rate,2023,0.255,metoda,metoda,,,
314,phf,2019,0.255,rozpoznanie,rozpoznanie,proximal humerus fracture,,
315,koa,2020,0.255,rozpoznanie,rozpoznanie,knee osteoarthritis,,
316,onfh,2018,0.254,rozpoznanie,rozpoznanie,osteonecrosis of the femoral head,,
317,ais patient,2016,0.254,rozpoznanie,rozpoznanie,,,
318,patient quality,2018,0.252,metoda,metoda,,,
319,n s,2010,0.251,metoda,metoda,,,
320,shorter operation time,2019,0.251,metoda,metoda,,,
321,tobacco use,2018,0.251,czynnik,czynnik,,,
322,nine study,2017,0.251,metoda,metoda,,,
323,systematic literature search,2018,0.251,metoda,metoda,,,
324,2 cohort,2015,0.25,metoda,metoda,,,
325,ka,2016,0.25,technika,technika,kinematic alignment,,
326,scoping review,2021,0.25,metoda,metoda,,,
327,dm,2016,0.248,rozpoznanie,rozpoznanie,diabetes mellitus,,
328,eligible study,2021,0.247,metoda,metoda,,,
329,asd surgery,2017,0.247,technika,technika,adult spinal deformity surgery,,
330,surgical factor,2012,0.245,metoda,metoda,,,
331,cumulative incidence,2017,0.245,metoda,metoda,,,
332,intraoperative bleeding,2023,0.245,wynik,wynik,,,
333,current procedural terminology code,2017,0.244,metoda,metoda,,,
334,sane,2019,0.244,skala,skala,single assessment numeric evaluation,,
335,ssis,2015,0.242,rozpoznanie,rozpoznanie,surgical site infection,,
336,dissemination,2016,0.242,metoda,metoda,,,
337,multivariable logistic regression analysis,2016,0.242,metoda,metoda,,,
338,cone beam computed tomography,2012,0.241,technologia,technologia,,trafna,
339,each cohort,2018,0.241,metoda,metoda,,,
340,shared decision making,2019,0.241,organizacja,organizacja,,,
341,atsa,2020,0.239,technika,technika,anatomic total shoulder arthroplasty,,
342,adult spinal deformity surgery,2016,0.238,technika,technika,,trafna,
343,aor,2019,0.238,metoda,metoda,,,
344,significantly higher risk,2022,0.236,,,,,
345,larger sample size,2022,0.236,metoda,metoda,,,
346,fea,2021,0.236,technologia,technologia,finite element analysis,,
347,surgical detail,2021,0.236,metoda,metoda,,,
348,2 test,2014,0.235,metoda,metoda,,,
349,higher bmi,2015,0.235,metoda,metoda,,,
350,spinopelvic parameter,2018,0.235,parametr,parametr,,,
351,9 3,2018,0.234,metoda,metoda,,,
352,ssv,2017,0.234,skala,skala,subjective shoulder value,,
353,calibration,2021,0.234,metoda,metoda,,,
354,six study,2013,0.232,metoda,metoda,,,
355,ethic,2017,0.231,metoda,metoda,,,
356,acute kidney injury,2017,0.231,rozpoznanie,rozpoznanie,,,
357,incidence and risk factor,2014,0.229,metoda,metoda,,,
358,ohs,2012,0.229,skala,skala,oxford shoulder score,,
359,five study,2014,0.229,metoda,metoda,,,
360,rtha,2020,0.229,niejasne,niejasne,,,
361,valuable insight,2023,0.229,metoda,metoda,,,
362,relevant study,2015,0.228,metoda,metoda,,,
363,knee joint function,2020,0.228,skala,skala,,,
364,four study,2017,0.226,metoda,metoda,,,
365,robotic assistance,2021,0.226,technologia,technologia,,trafna,ROBOTIC ASISITED KNEEE POWINNO BYĆ POD GRUPĄ
366,mid term outcome,2016,0.225,wynik,wynik,,,
367,cochrane risk,2020,0.223,metoda,metoda,,,
368,secondary endpoint,2014,0.222,metoda,metoda,,,
369,seven study,2015,0.222,metoda,metoda,,,
370,medicaid service,2016,0.222,organizacja,organizacja,,,
371,three study,2015,0.222,metoda,metoda,,,
372,reimbursement,2016,0.221,organizacja,organizacja,,,
373,eight study,2017,0.221,metoda,metoda,,,
374,independent factor,2016,0.221,metoda,metoda,,,
375,18 2,2022,0.219,,,,,
376,cut off value,2017,0.219,metoda,metoda,,,
377,tegner activity scale,2012,0.218,skala,skala,,,
378,primary total joint arthroplasty,2017,0.218,technika,technika,,trafna,oGÓLNA
379,higher body mass index,2020,0.218,metoda,metoda,,,
380,certainty,2021,0.218,metoda,metoda,,,
381,surgical orthopedic,2019,0.218,metoda,metoda,,,
382,all prom,2021,0.218,skala,skala,,,
383,coronal alignment,2020,0.216,parametr,parametr,,,
384,ao ota,2021,0.216,metoda,metoda,,,
385,comparable outcome,2020,0.216,metoda,metoda,,,
386,maximum stress,2020,0.216,parametr,parametr,,,
387,rcr,2018,0.216,technika,technika,arcr,,
388,nomogram,2020,0.216,metoda,metoda,,,
389,cox proportional hazard model,2020,0.215,,,,,
390,demographic variable,2018,0.215,metoda,metoda,,,
391,mechanical alignment,2018,0.213,technika,technika,,watpliwa,
392,operative duration,2020,0.213,wynik,wynik,,,
393,uiv,2017,0.213,parametr,parametr,upper instrumented vertebra,,
394,fracture healing time,2016,0.212,,,,,
395,inferior outcome,2014,0.212,metoda,metoda,,,
396,univariate and multivariate analysis,2019,0.212,,,,,
397,ar,2019,0.212,niejasne,niejasne,,,
398,scb,2020,0.212,metoda,metoda,,,
399,decision curve analysis,2021,0.212,metoda,metoda,,,
400,patient specific instrumentation,2013,0.209,technologia,technologia,,trafna,
401,dexamethasone,2020,0.209,lek,lek,,,
402,0 0,2016,0.209,metoda,metoda,,,
403,multivariable regression analysis,2018,0.209,metoda,metoda,,,
404,baseline demographic,2019,0.209,metoda,metoda,,,
405,non randomized study,2020,0.209,metoda,metoda,,,
406,large cohort,2017,0.207,metoda,metoda,,,
407,title,2016,0.207,metoda,metoda,,,
408,hoo,2014,0.207,skala,skala,nonarthritic hip score,,
409,implant retention,2018,0.207,technika,technika,,watpliwa,
410,surgical data,2018,0.206,metoda,metoda,,,
411,independent t test,2016,0.205,metoda,metoda,,,
412,adductor canal block,2016,0.205,technika,technika,,trafna,
413,purpose hypothesis,2019,0.205,metoda,metoda,,,
414,quickdash,2014,0.203,skala,skala,,,
415,25 0,2020,0.203,metoda,metoda,,,
416,postoperative clinical outcome,2017,0.203,metoda,metoda,,,
417,study quality,2019,0.203,metoda,metoda,,,
418,oblique lumbar interbody fusion,2019,0.203,technika,technika,,trafna,
419,latarjet procedure,2018,0.202,technika,technika,,trafna,
420,all outcome,2017,0.202,metoda,metoda,,,
421,owhto,2017,0.202,technika,technika,open wedge high tibial osteotomy,,
422,single assessment numeric evaluation,2018,0.202,skala,skala,,,
423,promis,2019,0.202,skala,skala,,,
424,percutaneous endoscopic lumbar discectomy,2016,0.2,technika,technika,,trafna,
425,bias tool,2019,0.2,metoda,metoda,,,
426,elixhauser comorbidity index,2022,0.2,czynnik,czynnik,,,
427,pearldiver database,2022,0.199,metoda,metoda,,,
428,ovid,2011,0.197,metoda,metoda,,,
429,this prospective cohort study,2017,0.197,,,,,
430,postoperative complication rate,2014,0.197,wynik,wynik,,,
431,eligible patient,2021,0.197,metoda,metoda,,,
432,liv,2020,0.197,parametr,parametr,upper instrumented vertebra,,
433,ovid medline,2018,0.197,metoda,metoda,,,
434,femoroacetabular impingement fai,2012,0.196,rozpoznanie,rozpoznanie,femoroacetabular impingement syndrome,,
435,longer length,2017,0.196,metoda,metoda,,,
436,modified macnab criterion,2017,0.196,skala,skala,,,
437,arcr,2020,0.196,technika,technika,,,nIE WIEM CO TO ARCR
438,prediction model,2019,0.196,metoda,metoda,,,
439,lower odd,2019,0.194,metoda,metoda,,,
440,90 day complication,2020,0.193,wynik,wynik,,,
441,fns,2021,0.193,technologia,technologia,femoral neck system,,
442,hospital readmission,2014,0.191,wynik,wynik,,,
443,calibration curve,2022,0.191,metoda,metoda,,,
444,30 day mortality,2012,0.19,wynik,wynik,,,
445,transfemoral amputation,2013,0.19,technika,technika,,trafna,
446,modifiable risk factor,2018,0.19,metoda,metoda,,,
447,primary tja,2018,0.19,technika,technika,primary total joint arthroplasty,,
448,surgery duration,2018,0.19,metoda,metoda,,,
449,single center retrospective study,2020,0.19,metoda,metoda,,,
450,retear rate,2017,0.189,wynik,wynik,,,
451,research question,2018,0.189,metoda,metoda,,,
452,radiological and clinical outcome,2018,0.189,metoda,metoda,,,
453,upper instrumented vertebra,2020,0.189,parametr,parametr,,,
454,metric,2018,0.189,metoda,metoda,,,
455,hounsfield unit,2022,0.189,parametr,parametr,,,
456,3 month follow up,2016,0.187,metoda,metoda,,,
457,visual analog scale pain score,2017,0.187,skala,skala,vas,,
458,peld,2016,0.187,technika,technika,percutaneous endoscopic lumbar discectomy,,
459,cda,2016,0.187,technika,technika,cervical disc arthroplasty,,
460,retrospective cohort analysis,2021,0.187,metoda,metoda,,,
461,fjs 12,2020,0.187,skala,skala,forgotten joint score,,
462,therefore this study,2023,0.187,metoda,metoda,,,
463,machine learning model,2022,0.187,technologia,technologia,,trafna,DO AI I MACHINE LEARNING 
464,wmd,2015,0.186,metoda,metoda,,,
465,tk,2017,0.186,parametr,parametr,miara_kregoslupa,,
466,lateral extra articular tenodesis,2020,0.186,technika,technika,,trafna,
467,bone joint j,2016,0.184,metoda,metoda,,,
468,mean sd,2011,0.184,metoda,metoda,,,
469,multimodal analgesia,2021,0.184,lek,lek,,,
470,t nnis grade,2017,0.184,skala,skala,,,
471,volar locking plate,2016,0.183,technologia,technologia,,trafna,
472,mua,2022,0.183,technika,technika,manipulation under anesthesia,,
473,t1 slope,2018,0.183,parametr,parametr,,,
474,revision risk,2019,0.183,wynik,wynik,,,
475,postoperative hospital stay,2023,0.183,wynik,wynik,,,
476,roc analysis,2022,0.183,metoda,metoda,,,
477,hu,2022,0.183,parametr,parametr,hounsfield unit,,
478,10 0,2022,0.181,metoda,metoda,,,
479,prwe,2018,0.181,skala,skala,patient rated wrist evaluation,,
480,cl,2020,0.181,metoda,metoda,,,
481,pi ll,2022,0.181,parametr,parametr,,,
482,adverse reaction,2011,0.18,metoda,metoda,,,
483,10 1,2018,0.18,metoda,metoda,,,
484,mean sd age,2018,0.18,metoda,metoda,,,
485,distal femur fracture,2014,0.18,rozpoznanie,rozpoznanie,,,
486,minimum 10 year follow up,2022,0.18,metoda,metoda,,,
487,same day discharge,2020,0.178,organizacja,organizacja,,,
488,chinese clinical trial registry,2021,0.178,metoda,metoda,,,
489,femoral neck system,2022,0.178,technologia,technologia,,trafna,
490,these risk factor,2016,0.177,metoda,metoda,,,
491,pooled analysis,2018,0.177,metoda,metoda,,,
492,embase database,2020,0.177,metoda,metoda,,,
493,chronic periprosthetic joint infection,2020,0.177,rozpoznanie,rozpoznanie,,,
494,potential confounder,2018,0.176,metoda,metoda,,,
495,clinicaltrial gov,2018,0.176,metoda,metoda,,,
496,lp,2021,0.176,metoda,metoda,,,
497,eos,2016,0.174,niejasne,niejasne,,,
498,patient reported outcome score,2016,0.174,skala,skala,,,
499,malnutrition,2018,0.174,rozpoznanie,rozpoznanie,,,
500,emergency department visit,2022,0.174,wynik,wynik,,,
