term,y0,kategoria_ocena,kanon,grupa,zrodlo,zawiera_sie_w,klasa
short stem,2015,technologia,short stem,short stem,stary,,I. implant i material
targeted muscle reinnervation,2021,technika,targeted muscle reinnervation,targeted muscle reinnervation,stary,,III. technika operacyjna
taa,2015,technika,total ankle arthroplasty,total ankle arthroplasty,stary,,II. endoprotezoplastyka
tar,2012,technika,total ankle arthroplasty,total ankle arthroplasty,nowy,,II. endoprotezoplastyka
tdr,2006,technika,total disc replacement,total disc replacement,nowy,,II. endoprotezoplastyka
total disc replacement,2005,technika,total disc replacement,total disc replacement,nowy,,II. endoprotezoplastyka
tea,2013,technika,total elbow arthroplasty,total elbow arthroplasty,stary,,II. endoprotezoplastyka
transforaminal lumbar interbody fusion,2010,technika,transforaminal lumbar interbody fusion,transforaminal lumbar interbody fusion,nowy,,III. technika operacyjna
ultrasound guidance,2023,technologia,ultrasound guidance,ultrasound guidance,nowy,,IV. narzedzie wspomagajace
medial unicompartmental knee arthroplasty,2013,technika,medial unicompartmental knee arthroplasty,unicompartmental knee arthroplasty,stary,,II. endoprotezoplastyka
unicompartmental knee arthroplasty,2018,technika,unicompartmental knee arthroplasty,unicompartmental knee arthroplasty,nowy,,II. endoprotezoplastyka
pvp,2008,technika,vertebral augmentation,vertebroplasty,nowy,,III. technika operacyjna
vertebral augmentation,2013,technika,vertebral augmentation,vertebroplasty,nowy,,III. technika operacyjna
volar locking plate,2013,technologia,volar locking plate,volar locking plate,stary,locking plate,I. implant i material
