term,n,y0,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,nachylenie_log,czas_podwojenia_lat,trwalosc_2025_do_szczytu,prac_w_oknie,kategoria,poprzednik,uwagi
china,1,2014,2024,0.958,0.779,1091,"disc prosthesis (lift 24.5, wsp. 4); thromboembolism after (lift 15.1, wsp. 4); tdr (lift 12.9, wsp. 4); all of the (lift 4.7, wsp. 6); for a mean (lift 4.4, wsp. 4)","[2013] Early follow-up outcomes of a new zero-profile implant used in anterior cervical discectomy and fusion. | [2013] Treatment of osteoporotic vertebral compression fractures with percutaneous kyphoplasty: a report of 196 cases. | [2013] Adolescent lumbar disc herniation: experience from a large minimally invasive treatment centre for lumbar degenerative disease in Chongqing, China.",[2023] Value of Tranexamic Acid and Progressive Nursing in Accelerating Postoperative Rehabilitation After Total Knee Arthroplasty. | [2023] Effects of arthroscopic anterior cruciate ligament reconstruction combined with sodium hyaluronate on knee function and inflammatory markers in anterior cruciate ligament injury patients with or without knee osteoarthritis. | [2023] Efficacy of 11 anticoagulants for the prevention of venous thromboembolism after total hip or knee arthroplasty: A systematic review and network meta-analysis.,0.4,884.2,China,93.5,1.1,8.8,2985248R,8.7,41.2,0.132,5.3,0.91,988,,,
machine learning,2,2019,2025,1.05,0.772,692,"we tested the (lift 36.0, wsp. 4); we tested (lift 25.9, wsp. 6); such a (lift 5.5, wsp. 4); is possible (lift 4.4, wsp. 4)",[2018] Examining the Ability of Artificial Neural Networks Machine Learning Models to Accurately Predict Complications Following Posterior Lumbar Spine Fusion. | [2018] Predictive Modeling for Blood Transfusion After Adult Spinal Deformity Surgery: A Tree-Based Machine Learning Approach. | [2018] A deep learning framework for segmentation and pose estimation of pedicle screw implants based on C-arm fluoroscopy.,[2023] Artificial Intelligence-Based Prediction of Lower Extremity Deep Vein Thrombosis Risk After Knee/Hip Arthroplasty. | [2023] Morphometric analysis of dry atlas vertebrae in a northeastern Thai population and possible correlation with sex. | [2023] SMART choice (knee) tool: a patient-focused predictive model to predict improvement in health-related quality of life after total knee arthroplasty.,1.5,424.9,USA,44.8,4.1,10.6,8703515,8.7,45.6,0.241,2.9,1.0,667,,,
beam computed tomography,3,2010,2025,1.023,0.759,1345,"of the condylar (lift 33.3, wsp. 4); superiorly (lift 25.1, wsp. 4); of the facial (lift 24.2, wsp. 4); mandible were (lift 20.7, wsp. 4); in the mandible (lift 19.3, wsp. 4)",[2009] Intraoperative cone-beam computed tomography in oral and maxillofacial surgery using a C-arm prototype: first clinical experiences after treatment of zygomaticomaxillary complex fractures. | [2009] A cone-beam computed tomography triple scan procedure to obtain a three-dimensional augmented virtual skull model appropriate for orthognathic surgery planning. | [2009] Cone beam computerized tomography: basics for digital planning in oral surgery and implantology.,[2023] Bone dimensional changes after flapless immediate implant placement with and without bone grafting: Randomized clinical trial. | [2023] [Decompensation effectiveness and alveolar bone remodeling analysis of mandibular anterior teeth after preoperative orthodontic treatment in high-angle patients with skeletal class Ⅱ malocclusion]. | [2023] Radiological examination of the relationship between the pterygomaxillary junction and fracture pattern.,0.3,1133.9,China,15.4,15.2,13.4,8605826,9.5,29.0,0.079,8.8,1.0,1324,,,
prescription,1,2017,2025,0.943,0.738,1103,"filled (lift 18.6, wsp. 38); orally (lift 14.5, wsp. 4); molecular weight heparin (lift 14.0, wsp. 7); low molecular weight (lift 13.6, wsp. 7); potent (lift 11.5, wsp. 4)","[2016] Effects of Oral Contraceptive Use on Anterior Cruciate Ligament Injury Epidemiology. | [2016] Prescription trajectories and effect of total hip arthroplasty on the use of analgesics, hypnotics, antidepressants, and anxiolytics: results from a population of total hip arthroplasty patients. | [2016] Health Care Costs and Utilization in Patients Receiving Prescriptions for Long-acting Opioids for Acute Postsurgical Pain.","[2023] Opioid Represcriptions After ACL Reconstruction in Adolescents Are Associated With Subsequent Opioid Use Disorder. | [2023] A 3-DOF electromotor-driven external fixator for foot and ankle deformity correction based on X-ray digital measurement. | [2024] Implementing an innovative, patient-centered approach to day case arthroplasty: improving patient outcomes through remote preoperative pharmacist consultations.",0.5,769.3,USA,65.9,2.3,19.8,8703515,12.0,39.8,0.069,10.0,1.0,917,,,
patient acceptable,2,2018,2025,0.95,0.725,679,"iv therapeutic case (lift 24.0, wsp. 6); therapeutic case series (lift 21.3, wsp. 6); clinical success (lift 12.3, wsp. 4); level iv therapeutic (lift 8.3, wsp. 6); hip in (lift 7.5, wsp. 6)",[2018] Clinically Meaningful Improvements After Hip Arthroscopy for Femoroacetabular Impingement in Adolescent and Young Adult Patients Regardless of Gender. | [2017] The Influence of Body Mass Index on Outcomes After Hip Arthroscopic Surgery With Capsular Plication for the Treatment of Femoroacetabular Impingement. | [2017] Total knee replacement: Are there any baseline factors that have influence in patient reported outcomes?,[2023] Patient Acceptable Symptom State Versus Latent Class Analysis Outcome Classification: A Comparative Longitudinal Study of Knee Arthroplasty. | [2023] Minimally Clinically Important Difference (MCID) Is a Low Bar. | [2023] Custom total knee arthroplasty combined with personalised alignment grants 94% patient satisfaction at minimum follow-up of 2 years.,1.4,337.0,USA,65.0,2.3,6.6,8506498,27.5,7.6,0.255,2.7,1.0,655,,,
artery disease,2,2019,2025,0.963,0.722,1137,"method and result (lift 52.4, wsp. 17); limb ischemia cli (lift 42.6, wsp. 46); patient with cli (lift 38.5, wsp. 20); with cli (lift 33.9, wsp. 22); for critical limb (lift 27.0, wsp. 14)",[2018] The outpatient total hip arthroplasty : a paradigm change. | [2018] Improving 1-Year Outcomes of Infrainguinal Limb Revascularization: Population-Based Cohort Study of 104 000 Patients in England. | [2018] Association of Statin Dose With Amputation and Survival in Patients With Peripheral Artery Disease.,[2023] To Cross or Not to Cross: Using MRI-Histology to Characterize Dense Collagenous Plaque in Critical Limb Ischemia. | [2023] Use of telemedicine facilitated by trained telepresenters to manage advanced peripheral artery disease in rural areas. | [2023] The influence of diabetes on temporal trends in lower extremity revascularisation and amputation for peripheral artery disease: A population-based repeated cross-sectional analysis.,0.7,600.5,USA,40.3,5.5,16.4,8407742,14.1,25.7,0.105,6.6,1.0,694,,,
spinopelvic,1,2017,2024,0.85,0.721,970,"series objective to (lift 24.2, wsp. 5); dystrophy (lift 22.8, wsp. 4); visceral (lift 19.9, wsp. 5); roland (lift 19.7, wsp. 4); spinal arthrodesis (lift 17.9, wsp. 4)",[2016] What's New in the Management of Neuromuscular Scoliosis. | [2016] Rigid Instrumentation for Neuromuscular Scoliosis Improves Deformity Correction Without Increasing Complications. | [2016] Assessment of Impact of Long-Cassette Standing X-Rays on Surgical Planning for Cervical Pathology: An International Survey of Spine Surgeons.,"[2023] Multilevel tandem spondylolisthesis associated with a reduced ""safe zone"" for a transpsoas lateral lumbar interbody fusion at L4-5. | [2023] Radiographic alignment outcomes after the single-position prone transpsoas approach: a multi-institutional retrospective review of 363 cases. | [2023] Does the Global Alignment and Proportion score predict mechanical complications in circumferential minimally invasive surgery for adult spinal deformity?",0.8,594.0,USA,33.3,6.5,10.9,9301980,10.5,26.5,0.116,6.0,0.89,792,,,
a propensity,2,2016,2025,0.956,0.714,800,"of background data (lift 3.4, wsp. 9); summary of background (lift 3.4, wsp. 9); on the basis (lift 3.2, wsp. 4); the basis of (lift 3.1, wsp. 4)","[2015] Operative versus nonoperative treatment of displaced proximal humeral physeal fractures: a matched cohort. | [2015] Propensity score matching and randomization. | [2015] Differences in the outcomes of anterior versus posterior interbody fusion surgery of the lumbar spine: a propensity score-controlled cohort analysis of 10,941 patients.",[2023] Similar short-term KOOS between open-wedge high tibial osteotomy and total knee arthroplasty in patients over age 60: A propensity score-matched cohort study. | [2023] Comparison of the clinical outcomes following total knee arthroplasty in osseous ankylosed and non-ankylosed knees using propensity-score matching. | [2023] Total Knee Replacement After Arthroscopic Meniscectomy in Knee Osteoarthritis: A Nationwide Population-Based Cohort Study.,1.7,516.4,USA,46.9,4.0,10.8,8703515,10.9,33.3,0.193,3.6,1.0,743,,,
robot assisted,2,2022,2025,0.956,0.712,751,"medtronic (lift 19.4, wsp. 5); were inserted in (lift 16.5, wsp. 5); implanted in the (lift 14.6, wsp. 5); cadaver specimen (lift 11.2, wsp. 4); computer assisted surgery (lift 9.5, wsp. 4)","[2021] The Cost of Robot-assisted Total Hip Arthroplasty: Comparing Safety and Hospital Charges to Conventional Total Hip Arthroplasty. | [2021] Letter to the Editor regarding: ""Risk of Postoperative Complications and Revision Surgery Following Robot-assisted Posterior Lumbar Spinal Fusion"" by Yang et al. | [2021] A progressive scholarly acceptance analysis of robot-assisted arthroplasty: a review of the literature and prediction of future research trends.",[2023] Extreme Lateral Lumbar Interbody Fusion Surgery with a Robot-Assisted System in a Swine Model. | [2023] Current Practices for Esthetic Facial Bone Contouring Surgery in Asians. | [2023] Comparison of Robot-Assisted Percutaneous Cannulated Screws Versus Open Reduction and Internal Fixation in Calcaneal Fractures.,0.7,402.3,China,65.4,2.3,5.9,101300401,8.5,34.9,0.13,5.3,1.0,460,,,
tranexamic acid,2,2013,2019,0.935,0.695,1478,"autologous blood (lift 32.2, wsp. 13); bolus (lift 24.6, wsp. 9); packed (lift 20.8, wsp. 7); blood and (lift 19.9, wsp. 7); infusion of (lift 18.3, wsp. 9)","[2012] Are antifibrinolytics helpful in decreasing blood loss and transfusions during spinal fusion surgery in children with cerebral palsy scoliosis? | [2012] [Tranexamic acid reduces blood loss after major elective orthopaedic operations]. | [2012] Evaluation of the efficacy of tranexamic acid on blood loss in orthognathic surgery. A prospective, randomized clinical study.",[2023] Value of Tranexamic Acid and Progressive Nursing in Accelerating Postoperative Rehabilitation After Total Knee Arthroplasty. | [2023] Effect of Topical Administration of Tranexamic Acid on Intraoperative and Postoperative Blood Loss during Posterior Cervical Laminectomy and Fusion Surgery: A Retrospective Study. | [2023] Predisposing factors for allogeneic blood transfusion in patients with ankylosing spondylitis undergoing primary unilateral total hip arthroplasty: a retrospective study.,0.5,1061.5,China,32.8,6.0,12.0,8703515,10.7,39.4,0.151,4.6,0.58,1380,,,
center study,2,2021,2025,0.95,0.684,992,"of this prospective (lift 7.5, wsp. 6); were given (lift 7.3, wsp. 6); in 15 patient (lift 6.9, wsp. 4); in 11 patient (lift 6.9, wsp. 4); clinical result were (lift 6.7, wsp. 6)",[2020] Pedobarography shows no differences in gait after talar fractures. | [2020] Endoscopic Surgery for Recurrent Disc Herniation After Microscopic or Endoscopic Lumbar Discectomy. | [2020] The Safety of Single and Multilevel Cervical Total Disc Replacement in Ambulatory Surgery Centers.,"[2023] Minimally invasive decompression alone versus fusion surgery for acute lumbar disk herniation combined incomplete cauda equina syndrome. | [2023] Surgical treatment of degenerative lumbar spondylolisthesis: Effect of TLIF and slip reduction on sagittal alignment. | [2023] Trajectory of chronic and neuropathic pain, anxiety and depressive symptoms and pain catastrophizing after total knee replacement. Results of a prospective, single-center study at a mean follow-up of 7.5 years.",1.0,457.5,France,17.1,10.9,8.2,101494830,6.4,48.7,0.15,4.6,1.0,503,,,
direct anterior,2,2015,2021,0.712,0.684,1017,"anterior approach to (lift 118.7, wsp. 19); minimally invasive total (lift 34.7, wsp. 8); by direct (lift 32.5, wsp. 7); performed through a (lift 25.0, wsp. 6); fluoroscopically (lift 22.0, wsp. 4)",[2014] Does the direct anterior approach in THA offer faster rehabilitation and comparable safety to the posterior approach? | [2014] Fluoroscopic imaging of acetabular cup position during THA through a direct anterior approach. | [2014] Survivorship of bipolar fresh total osteochondral ankle allograft.,[2023] Are we getting better at cementing femoral stems in total hip arthroplasty? A 5-year institutional trend. | [2023] Does Surgical Approach to the Hip Play a Role in Same-Day Discharge Outcomes? | [2023] Computer-Assisted Navigation Accurately Delivers Preoperative Targets for Acetabular Component Orientation During Direct Anterior Approach Total Hip Arthroplasty.,0.5,745.7,USA,32.3,6.5,13.9,8703515,23.7,13.3,0.106,6.5,0.93,911,,,
propensity score matched,3,2016,2025,0.943,0.678,728,"of background data (lift 5.2, wsp. 12); summary of background (lift 5.2, wsp. 12); on the basis (lift 4.6, wsp. 5); the basis of (lift 4.4, wsp. 5)",[2015] Neuraxial anesthesia improves long-term survival after total joint replacement: a retrospective nationwide population-based study in Taiwan. | [2015] Sliding hip screw versus sliding helical blade for intertrochanteric fractures: a propensity score-matched case control study. | [2015] Anterior Versus Posterior Approach for Multilevel Degenerative Cervical Disease: A Retrospective Propensity Score-Matched Study of the MarketScan Database.,[2023] Similar short-term KOOS between open-wedge high tibial osteotomy and total knee arthroplasty in patients over age 60: A propensity score-matched cohort study. | [2023] Recovery ratios and minimum clinically important difference for clinical outcomes in workers' compensation recipients undergoing MIS-TLIF versus ALIF. | [2023] The implementation of enhanced recovery after surgery pathway in patients undergoing posterior thoracolumbar fusion for degenerative spinal deformity.,0.9,521.4,USA,45.3,4.2,10.2,8703515,13.4,30.2,0.201,3.4,1.0,693,,,
covid 19,2,2020,2020,1.285,0.677,714,"waiting list (lift 35.5, wsp. 10); polymerase chain reaction (lift 22.0, wsp. 16); early experience (lift 15.0, wsp. 6); division of (lift 13.0, wsp. 5); caused a (lift 12.9, wsp. 6)",[2020] What's Important: Facing Fear in the Time of COVID-19. | [2020] What's Important: What Is Our Role in the COVID-19 Pandemic? | [2020] Preparing to Perform Trauma and Orthopaedic Surgery on Patients with COVID-19.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2023] Diabetes-related Amputations During COVID-19: A Pandemic Within a Pandemic.",0.7,638.8,USA,33.3,6.6,14.6,8703515,8.4,54.7,,,0.29,714,,,
study from,2,2020,2025,0.749,0.662,984,"birmingham (lift 23.9, wsp. 5); study level ii (lift 19.6, wsp. 4); hip resurfacing (lift 7.1, wsp. 6); seen with (lift 6.2, wsp. 4); survived (lift 6.1, wsp. 6)",[2019] The Rates of LSS Surgery in Norwegian Public Hospitals: A Threefold Increase From 1999 to 2013. | [2019] Treating fractures in upper limb gunshot injuries: The Cape Town experience. | [2019] The Utility of Hip Arthroscopy in the Setting of Acetabular Dysplasia: A Systematic Review.,"[2023] Does the use of postoperative brace help preventing mechanical complications following adult deformity surgery? | [2023] Comparison of Outcomes Following Total Hip Arthroplasty Between Patients Diagnosed with Association Research Circulation Osseous (ARCO) Stage III and Stage IV Osteonecrosis of the Femoral Head: A Retrospective Study of 302 Patients. | [2023] Leveraging large, real-world data through machine-learning to increase efficiency in robotic-assisted total knee arthroplasty.",0.5,507.8,China,22.8,9.3,9.6,0075674,8.0,46.1,0.089,7.8,1.0,562,,,
narrative,1,2014,2025,0.789,0.632,766,"are presented (lift 8.3, wsp. 4); osteoarthritis of the (lift 6.2, wsp. 4); discussed (lift 5.1, wsp. 6); the spine (lift 4.4, wsp. 5); resurfacing (lift 4.2, wsp. 4)","[2013] Mandibular distraction osteogenesis in the micrognathic neonate: a review for neonatologists and pediatricians. | [2013] Vertebral augmentation: update on safety, efficacy, cost effectiveness and increased survival? | [2013] Lower limb amputation and rehabilitation in total joint arthroplasties in the ipsilateral limb.","[2023] Knee Arthroscopy After Prior Total Knee ArthroplastyType of Study: Narrative Review. | [2023] Answer to the Letter to the Editor of K. Minami, et al. concerning ""An unexpected connection: A narrative review of the associations between gut microbiome and musculoskeletal pain"" by Tonelli et al. (Eur Spine J; 2022: doi:10.1007/s00586-022-07429-y). | [2023] Letter to the Editor concerning ""An unexpected connection: a narrative review of the associations between gut microbiome and musculoskeletal pain"" by Tonelli et al. (Eur Spine J; 2022: doi:10.1007/s00586-022-07429-y).",0.7,658.9,USA,26.4,8.9,8.7,0226040,3.6,103.5,0.159,4.4,1.0,721,,,
printing,1,2014,2020,0.72,0.632,940,"rapid prototyping (lift 68.0, wsp. 8); the computer (lift 32.6, wsp. 5); ct scanning (lift 29.7, wsp. 4); scanning (lift 18.0, wsp. 11); of the tumor (lift 16.0, wsp. 4)",[2013] Construction and accuracy assessment of patient-specific biocompatible drill template for cervical anterior transpedicular screw (ATPS) insertion: an in vitro study. | [2013] A novel method of computer aided orthognathic surgery using individual CAD/CAM templates: a combination of osteotomy and repositioning guides. | [2013] Multistep pedicle screw insertion procedure with patient-specific lamina fit-and-lock templates for the thoracic spine: clinical article.,[2023] C2 pedicle screw placement on 3D-printed models for the performance assessment of CTA-based screw preclusion. | [2023] Three-dimensional printing designed customized plate in the treatment of coronal fracture of distal humerus in teenager: A case report. | [2023] The optimal design of 3D-printed lattice bone plate by considering fracture healing mechanism.,0.5,843.7,China,47.0,4.1,10.9,9425194,5.2,73.3,0.311,2.2,0.89,924,,,
of return to,3,2017,2021,0.718,0.624,1005,"the mean lysholm (lift 17.7, wsp. 5); iv therapeutic case (lift 13.8, wsp. 10); mean lysholm (lift 12.0, wsp. 5); therapeutic case series (lift 11.3, wsp. 9); autologous chondrocyte (lift 10.8, wsp. 7)",[2016] Outcomes and Complications of Tibial Tubercle Fractures in Pediatric Patients: A Systematic Review of the Literature. | [2016] Asymmetrical Lower Extremity Loading Early After Anterior Cruciate Ligament Reconstruction Is a Significant Predictor of Asymmetrical Loading at the Time of Return to Sport. | [2016] Sternoclavicular Reconstruction in the Young Active Patient: Risk Factor Analysis and Clinical Outcomes at Short-Term Follow-up.,[2023] Rehabilitation and Return to Work and Sport After Rotator Cuff. | [2023] Outcomes of Tibiotalocalcaneal Hindfoot Fusion Nails Used for Acute Lower Extremity Trauma in a High-Risk Patient Population. | [2023] Improvement following minimally invasive transforaminal lumbar interbody fusion in patients aged 70 years or older compared with younger age groups.,0.8,569.1,USA,44.7,4.6,9.2,7609541,15.1,18.0,0.08,8.7,0.78,757,,,
of randomized controlled,3,2017,2024,0.715,0.619,1138,"searched the cochrane (lift 25.5, wsp. 6); the criterion of (lift 10.2, wsp. 4); molecular weight heparin (lift 6.8, wsp. 4); low molecular weight (lift 6.6, wsp. 4); heparin (lift 5.1, wsp. 5)","[2016] Operative Versus Nonoperative Treatment of Displaced Intra-Articular Calcaneal Fractures: A Meta-Analysis of Randomized Controlled Trials. | [2016] Bryan Cervical Disc Arthroplasty Versus Anterior Cervical Discectomy and Fusion for Treatment of Cervical Disc Diseases: A Meta-analysis of Prospective, Randomized Controlled Trials. | [2016] Postoperative leg position following total knee arthroplasty influences blood loss and range of motion: a meta-analysis of randomized controlled trials.",[2023] Is unilateral pedicle screw fixation as effective as bilateral pedicle screw fixation in transforaminal lumbar interbody fusion: a meta-analysis of randomized controlled trials. | [2023] Comparing external fixators and intramedullary nailing for treating open tibia fractures: a meta-analysis of randomized controlled trials. | [2023] Spinal Manual Therapy for Adolescent Idiopathic Scoliosis: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,0.7,675.7,China,48.6,3.8,9.4,2985248R,10.4,31.8,0.017,41.6,0.88,815,,,
following primary total,3,2022,2024,0.702,0.606,909,"bearing surface (lift 5.0, wsp. 4); in this group (lift 3.6, wsp. 4); this group (lift 3.4, wsp. 7); acetabular component (lift 3.4, wsp. 10); dislocated (lift 3.2, wsp. 4)",[2021] Healthcare resource utilization and costs for hip dislocation following primary total hip arthroplasty in the medicare population. | [2021] Intra-Articular Corticosteroid or Hyaluronic Acid Injections Are Not Associated with Periprosthetic Joint Infection Risk following Total Knee Arthroplasty. | [2021] Dual Mobility and Conventional Bearings Have Comparably Low Dislocation Rates for Anterior-Based Approaches in Total Hip Arthroplasty.,[2023] How Does Preoperative Anemia Impact Clinical Outcomes Following Primary Total Hip Arthroplasty?: Experience From Colombia. | [2023] A multicentre comparative analysis of fixation versus revision surgery for periprosthetic femoral fractures following total hip arthroplasty with a cemented polished taper-slip femoral component. | [2023] Smokeless Tobacco Use is Associated With Worse Outcomes Following Total Knee Arthroplasty.,1.3,285.8,USA,61.4,2.6,6.1,8703515,39.9,5.8,0.071,9.7,0.97,378,,,
retrospective observational study,3,2015,2025,0.756,0.6,729,"were studied (lift 5.1, wsp. 5); rheumatoid arthritis (lift 4.0, wsp. 4); painful (lift 3.4, wsp. 5)",[2014] The use of multiple needle fasciotomy in Dupuytren disease: retrospective observational study of outcome and patient satisfaction. | [2014] Prosthetic fitting after rotationplasty of the knee. | [2014] Association of serum sodium with morbidity and mortality in hospitalized patients undergoing major orthopedic surgery.,[2023] Prosthetic fitting associated with better survival at 5 years after above-knee amputation due to vascular insufficiency. | [2023] Imprecise prediction of implant sizes with preoperative 2D digital templating in total knee arthroplasty. | [2023] Post-traumatic total wrist arthrodesis: Satisfaction study of 42 cases at a mean 97months' follow-up.,0.8,568.7,China,14.6,12.8,7.9,101494830,5.9,59.8,0.161,4.3,1.0,660,,,
pandemic,1,2020,2020,0.987,0.583,606,"waiting list (lift 42.7, wsp. 10); polymerase chain reaction (lift 16.6, wsp. 10); division of (lift 15.6, wsp. 5); caused a (lift 15.5, wsp. 6); early experience (lift 15.1, wsp. 5)",[2019] Obesity Disease Pandemic on Joint Disease and Longevity. | [2020] What's Important: What Is Our Role in the COVID-19 Pandemic? | [2020] Guidelines for Ambulatory Surgery Centers for the Care of Surgically Necessary/Time-Sensitive Orthopaedic Cases During the COVID-19 Pandemic.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2023] Diabetes-related Amputations During COVID-19: A Pandemic Within a Pandemic.",0.8,537.2,USA,34.6,6.3,14.6,8703515,9.1,51.9,,,0.29,595,,,
3d printing,2,2014,2020,0.654,0.579,844,"rapid prototyping (lift 52.1, wsp. 5); the computer (lift 31.9, wsp. 4); of the tumor (lift 19.6, wsp. 4); scanning (lift 18.0, wsp. 9); skull (lift 13.9, wsp. 4)","[2013] A novel method of computer aided orthognathic surgery using individual CAD/CAM templates: a combination of osteotomy and repositioning guides. | [2014] The marine sponge-derived inorganic polymers, biosilica and polyphosphate, as morphogenetically active matrices/scaffolds for the differentiation of human multipotent stromal cells: potential application in 3D printing and distraction osteogenesis. | [2014] Bone regenerative medicine: classic options, novel strategies, and future directions.",[2023] C2 pedicle screw placement on 3D-printed models for the performance assessment of CTA-based screw preclusion. | [2023] Three-dimensional printing designed customized plate in the treatment of coronal fracture of distal humerus in teenager: A case report. | [2023] The optimal design of 3D-printed lattice bone plate by considering fracture healing mechanism.,0.6,769.7,China,48.9,3.9,10.0,9425194,5.7,69.8,0.322,2.2,0.92,836,,,
direct anterior approach,3,2014,2021,0.599,0.57,834,"anterior approach to (lift 127.1, wsp. 14); early experience (lift 41.4, wsp. 4); minimally invasive total (lift 39.0, wsp. 7); performed through a (lift 31.9, wsp. 4); the cup (lift 17.2, wsp. 8)",[2013] High complication rate in the early experience of minimally invasive total hip arthroplasty by the direct anterior approach. | [2013] Skin crease 'bikini' incision for anterior approach total hip arthroplasty: surgical technique and preliminary results. | [2013] Outcome after proximal femoral fractures during primary total hip replacement by the direct anterior approach.,[2023] Does Surgical Approach to the Hip Play a Role in Same-Day Discharge Outcomes? | [2023] Computer-Assisted Navigation Accurately Delivers Preoperative Targets for Acetabular Component Orientation During Direct Anterior Approach Total Hip Arthroplasty. | [2023] Evaluation of Comparative Efficacy and Safety of Surgical Approaches for Total Hip Arthroplasty: A Systematic Review and Network Meta-analysis.,0.6,633.3,USA,27.6,7.4,12.5,8703515,21.3,15.2,0.186,3.7,0.92,774,,,
analysis of randomized,3,2013,2024,0.634,0.568,986,"quasi randomized (lift 28.3, wsp. 7); we carried out (lift 26.6, wsp. 4); carried out a (lift 24.9, wsp. 4); conclusion on the (lift 22.0, wsp. 5); searched the cochrane (lift 20.1, wsp. 4)",[2012] External fixation versus internal fixation for unstable distal radius fractures: a systematic review and meta-analysis of comparative clinical trials. | [2012] Symptomatic in-hospital deep vein thrombosis and pulmonary embolism following hip and knee arthroplasty among patients receiving recommended prophylaxis: a systematic review. | [2012] Cemented all-polyethylene acetabular implants vs other forms of acetabular fixation: a systematic review and meta-analysis of randomized controlled trials.,[2023] Is unilateral pedicle screw fixation as effective as bilateral pedicle screw fixation in transforaminal lumbar interbody fusion: a meta-analysis of randomized controlled trials. | [2023] Comparing external fixators and intramedullary nailing for treating open tibia fractures: a meta-analysis of randomized controlled trials. | [2023] Spinal Manual Therapy for Adolescent Idiopathic Scoliosis: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,0.7,762.4,China,54.4,3.2,8.0,2985248R,8.9,34.3,0.066,10.5,0.88,917,,,
artificial intelligence,2,2020,2025,0.896,0.547,435,,[2019] Artificial Intelligence Based Hierarchical Clustering of Patient Types and Intervention Categories in Adult Spinal Deformity Surgery: Towards a New Classification Scheme that Predicts Quality and Value. | [2019] Artificial Intelligence and Machine Learning in Lower Extremity Arthroplasty: A Review. | [2019] Artificial Intelligence: Applications in orthognathic surgery.,[2023] A review of advances in image-guided orthopedic surgery. | [2023] Artificial Intelligence-Based Prediction of Lower Extremity Deep Vein Thrombosis Risk After Knee/Hip Arthroplasty. | [2023] SMART choice (knee) tool: a patient-focused predictive model to predict improvement in health-related quality of life after total knee arthroplasty.,1.0,355.6,USA,31.2,6.3,11.4,8703515,7.4,52.1,0.431,1.6,1.0,420,,,
single center study,3,2016,2025,0.776,0.542,714,"occlusion of (lift 27.1, wsp. 5); case no (lift 14.3, wsp. 4); for critical limb (lift 13.8, wsp. 4); in 14 patient (lift 12.8, wsp. 4); seen at (lift 12.8, wsp. 4)",[2015] Doppler renal resistive index for early detection of acute kidney injury after major orthopaedic surgery: a prospective observational study. | [2015] [Thromboelastometric profile of unwashed shed blood after primary knee arthroplasty]. | [2015] Patient related functional outcome after total wrist arthroplasty: a single center study of 206 cases.,"[2023] Minimally invasive decompression alone versus fusion surgery for acute lumbar disk herniation combined incomplete cauda equina syndrome. | [2023] Surgical treatment of degenerative lumbar spondylolisthesis: Effect of TLIF and slip reduction on sagittal alignment. | [2023] Trajectory of chronic and neuropathic pain, anxiety and depressive symptoms and pain catastrophizing after total knee replacement. Results of a prospective, single-center study at a mean follow-up of 7.5 years.",0.8,548.1,France,20.3,10.6,7.9,101494830,8.6,45.1,0.126,5.5,1.0,606,,,
propensity matched,2,2016,2025,0.783,0.54,548,"of background data (lift 5.3, wsp. 8); summary of background (lift 5.3, wsp. 8)","[2015] Postoperative morbidity and mortality in type-2 diabetics after fast-track primary total hip and knee arthroplasty. | [2015] Effects of regional versus general anesthesia on outcomes after total hip arthroplasty: a retrospective propensity-matched cohort study. | [2015] Just do it! Commentary on an article by Mohammad A. Helwani, MD, et al.: ""Effects of regional versus general anesthesia on outcomes after total hip arthroplasty: a retrospective propensity-matched cohort study"".","[2023] Multilevel tandem spondylolisthesis associated with a reduced ""safe zone"" for a transpsoas lateral lumbar interbody fusion at L4-5. | [2023] Geriatric Distal Femur Fractures: Equivalent Long-Term Reoperation Rates Between Fixation and Primary Arthroplasty. | [2023] How does the use of quantified gap-balancing affect component positioning and limb alignment in robotic total knee arthroplasty using functional alignment philosophy? A comparison of two robotic platforms.",2.3,309.0,USA,73.0,1.9,13.3,8703515,14.5,21.2,0.239,2.9,1.0,517,,,
