rank,poprzednik_A,termin_B,y0_B,podobienstwo,percentyl_losowy,n_A_okno_wczesne,n_B_okno_pozne,okno_wczesne,okno_pozne,n_wspolnych_prac,A_2005,B_2005,A_2006,B_2006,A_2007,B_2007,A_2008,B_2008,A_2009,B_2009,A_2010,B_2010,A_2011,B_2011,A_2012,B_2012,A_2013,B_2013,A_2014,B_2014,A_2015,B_2015,A_2016,B_2016,A_2017,B_2017,A_2018,B_2018,A_2019,B_2019,A_2020,B_2020,A_2021,B_2021,A_2022,B_2022,A_2023,B_2023,A_2024,B_2024,A_2025,B_2025,tytuly_A_wczesne,tytuly_B_pozne,tytuly_WSPOLNE,werdykt
11,critical limb ischemia,freedom from,2022,0.5133,100.0,321,216,2018-2021,2022-2025,13,13,2,27,3,38,7,44,6,66,11,66,13,79,13,82,14,95,27,86,35,89,26,126,26,104,31,90,26,84,44,80,52,67,35,38,36,22,36,29,73,29,71,"Axillobifemoral Bypasses: Reappraisal of an Extra-Anatomic Bypass by Analysis of Results and Prognostic Factors.
Lower Extremity Bypass Using Bovine Carotid Artery Graft (Artegraft): An Analysis of 124 Cases with Long-Term Results.
Predictors of delayed wound healing after successful isolated below-the-knee endovascular intervention in patients with ischemic foot ulcers.
Reclaiming Autologous Amputated Tissue for Limb Salvage of a Diabetic Foot Burn with Underlying Critical Limb Ischemia.
Aggressive infrainguinal revascularization in renal transplant patients is justifiable.","10-Year clinical outcomes of hemodialysis patients with peripheral arterial disease due to infrainguinal disease undergoing endovascular therapy.
Contemporary outcomes of limb-salvage procedures using Vascular Quality Initiative-Medicare-linked data: Racial and ethnic disparities persist.
Assessment of Sirolimus- vs. paCLitaxEl-coated balloon angioPlasty In atherosclerotic femoropopliteal lesiOnS (ASCLEPIOS Study): preliminary results.
Paclitaxel in real-life data is not associated with reduced survival but has limited benefit in preventing amputation.
Individual patient data meta-analysis of patients treated with a heparin-bonded Viabahn in the femoropopliteal artery for chronic limb-threatening ischemia.","Midterm Outcomes of Endovascular Therapy for TASC II D Femoropopliteal Lesions with Critical Limb Ischemia: A Retrospective Analysis.
Ten-year experience of infrainguinal bypass with endoscopic vein harvest.
Drug-Coated Balloon for the Treatment of Long-Segment Femoropopliteal Artery Disease: Pooled Analysis from the BIOLUX P-III SPAIN and BIOLUX P-III All-Comers Registry Long Lesion Subgroup.
Ten-year experience with use of cryopreserved allografts for redo infrapopliteal bypass.
Amputation-free survival in the long-term follow-up and gender-related characteristics in patients revascularized for critical limb ischemia.",
12,with cli,limb threatening,2021,0.5054,100.0,115,621,2017-2020,2021-2024,5,8,13,13,20,9,11,13,17,24,12,21,24,32,10,21,16,26,6,24,8,27,14,33,16,41,25,27,21,25,38,22,110,15,144,12,145,6,146,3,186,3,193,"A Multicenter Predictive Score for Amputation-Free Survival for Patients Operated on with an Heparin-Bonded ePTFE Graft for Critical Limb Ischemia.
Neutrophil-to-lymphocyte ratio is effective prognostic indicator for post-amputation patients with critical limb ischemia.
Wound Blush Obtainment Is the Most Important Angiographic Endpoint for Wound Healing.
Editor's Choice - Dual Antiplatelet Therapy Improves Outcome in Diabetic Patients Undergoing Endovascular Femoropopliteal Stenting for Critical Limb Ischaemia.
The effect of ambulatory status on outcomes of percutaneous vascular interventions and lower extremity bypass for critical limb ischemia in the Vascular Quality Initiative.","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Phage Therapy for Limb-threatening Prosthetic Knee Klebsiella pneumoniae Infection: Case Report and In Vitro Characterization of Anti-biofilm Activity.
Validation of Global Limb Anatomical Staging System (GLASS) in patients with hemodialysis and Chronic Limb-Threatening Ischemia after endovascular treatment.
Outcomes of open and hybrid treatments in below the knee pathology for critical limb threatening ischemia.
Evaluation of Clinical Outcomes After Revascularization in Patients With Chronic Limb-Threatening Ischemia: Results From a Prospective National Cohort Study (RIVALUTANDO).","Participation in a Chronic Limb Threatening Ischemia Randomized Trial Is Inversely Correlated With Regional Amputation Rate in Limb Threatening Ischemia Patients.
Local intramuscular transplantation of autologous bone marrow mononuclear cells for critical lower limb ischaemia.
Mesenchymal stem cells for critical limb ischemia: their function, mechanism, and therapeutic potential.
ERICVA Risk Scale simplified as a predictor of amputation in critical limb ischemia.
Revascularisation Options for Chronic Limb Threatening Ischaemia in Diabetes: Implications From Two Recent Trials.",
13,nationwide inpatient sample,comorbidity,2019,0.5029,100.0,198,2645,2015-2018,2019-2022,39,6,39,5,53,11,82,8,108,18,130,14,148,14,198,23,217,46,306,84,343,50,365,52,423,53,454,43,500,26,618,17,675,15,647,16,705,6,639,18,798,12,906,"International classification of disease clinical modification 9 modeling of a patient comorbidity score predicts incidence of perioperative complications in a nationwide inpatient sample assessment of complications in spine surgery.
Health care burden of anterior cervical spine surgery: national trends in hospital charges and length of stay, 2000-2009.
Incidental dural tear in cervical spine surgery: analysis of a nationwide database.
The John Insall Award: Morbid obesity independently impacts complications, mortality, and resource use after TKA.
Does HIV infection increase the risk of perioperative complications after THA? A nationwide database study.","Participation in Regular Physical Activity After Total Knee or Hip Arthroplasty for Osteoarthritis: Prevalence, Associated Factors, and Type.
What Factors Influence Reimbursement for 1 to 2 Level Anterior Cervical Discectomy and Fusion Procedures?
Quantitative Risk Factor Analysis of Postoperative Dysphagia After Anterior Cervical Discectomy and Fusion (ACDF) Using the Eating Assessment Tool-10 (EAT-10).
Perioperative Catheter Use as a Risk Factor for Surgical Site Infection After Cervical Surgery: An Analysis of 39,893 Patients.
Lack of Cost Savings for Lumbar Spine Fusions After Bundled Payments for Care Improvement Initiative: A Consequence of Increased Case Complexity.","Patient and Practice Trends in Total Ankle Replacement and Tibiotalar Arthrodesis in the United States From 2007 to 2013.
Risk Factors for Cerebrospinal Fluid Leak Following Anterior Cervical Discectomy and Fusion.
Machine Learning Accurately Predicts Short-Term Outcomes Following Open Reduction and Internal Fixation of Ankle Fractures.
Investigating the utility of intraoperative neurophysiological monitoring for anterior cervical discectomy and fusion: analysis of over 140,000 cases from the National (Nationwide) Inpatient Sample data set.
Matched Cohort Analysis of Total Hip Arthroplasty in Patients With and Without Parkinson's Disease: Complications, Mortality, Length of Stay, and Hospital Charges.",
14,critical limb ischemia,patient with clti,2020,0.5026,100.0,404,160,2016-2019,2020-2023,4,13,0,27,0,38,0,44,0,66,0,66,0,79,0,82,0,95,0,86,0,89,0,126,0,104,4,90,3,84,9,80,21,67,40,38,51,22,48,29,62,29,61,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.
Comparative 12-Month Outcomes of Drug-Coated Balloon Versus Non-Drug-Coated Balloon Revascularization Strategy in Chronic Limb-Threatening Ischemia: Results From the XLPAD Registry.","Ambulatory Status Over Time after Revascularization in Patients with Chronic Limb-Threatening Ischemia.
The Society for Vascular Surgery Objective Performance Goals for Critical Limb Ischemia are attainable in select patients with ischemic wounds managed with wound care alone.
Analysis of Interwoven Nitinol Stenting for the Treatment of Critical Limb Ischemia: Outcomes From an Average 3-Year Follow-up Period.
Critical Limb Ischemia in Nonagenarians: A Challenge of Our Times.",
15,critical limb ischemia,free survival afs,2020,0.495,100.0,404,82,2016-2019,2020-2023,7,13,0,27,0,38,0,44,1,66,2,66,4,79,6,82,3,95,8,86,9,89,19,126,12,104,16,90,15,84,13,80,23,67,25,38,16,22,18,29,40,29,35,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","The Controlling Nutritional Status Score is Significantly Associated with Complete Ulcer Healing in Patients with Critical Limb Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
Outcomes of isolated inframalleolar interventions for chronic limb-threatening ischemia in diabetic patients.
Amputation-free survival, limb symptom alleviation, and reintervention rates after open and endovascular revascularization of femoropopliteal lesions in patients with chronic limb-threatening ischemia.
Improved survival with angiotensin-converting enzyme inhibitors and angiotensin receptor blockers in chronic limb-threatening ischemia.","The Controlling Nutritional Status Score is Significantly Associated with Complete Ulcer Healing in Patients with Critical Limb Ischemia.
Endovascular or open surgical treatment of high-risk patients with infrainguinal peripheral arterial disease and critical limb ischemia.
End-stage renal disease patients undergoing angioplasty and bypass for critical limb ischemia have worse outcomes compared to non-ESRD patients: Systematic review and meta-analysis.
Could prior endovascular interventions affect the results of lower extremity below the knee autologous vein bypasses?
Validation of ERICVA Risk Score as a Predictor of One Year Amputation-Free Survival of Patients with Critical Limb Ischemia.",
16,with cli,limb threatening ischemia,2020,0.4944,100.0,126,416,2016-2019,2020-2023,5,8,4,13,3,9,6,13,8,24,3,21,7,32,3,21,1,26,1,24,2,27,3,33,3,41,13,27,14,25,23,22,77,15,109,12,108,6,122,3,161,3,165,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
Management of Critical Limb Ischemia.
Predictors of major amputation despite patent bypass grafts.
The Role of Sequential Pneumatic Compression in Limb Salvage in Non-reconstructable Critical Limb Ischemia.
Expansion and angiogenic potential of mesenchymal stem cells from patients with critical limb ischemia.","Paclitaxel-Coated Balloon for the Treatment of Infrainguinal Disease: 12-Month Outcomes in the All-Comers Cohort of BIOLUX P-III Global Registry.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Implications of early failure of isolated endovascular tibial interventions.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.","Duplex Ultrasound May Predict the Best Level of Lower Limb Amputation in Patients with Chronic Limb-Threatening Ischemia: A Retrospective Observational Cohort Study.
Arterial calcification and long-term outcome in chronic limb-threatening ischemia patients.
Participation in a Chronic Limb Threatening Ischemia Randomized Trial Is Inversely Correlated With Regional Amputation Rate in Limb Threatening Ischemia Patients.
Mesenchymal stem cells for critical limb ischemia: their function, mechanism, and therapeutic potential.
ERICVA Risk Scale simplified as a predictor of amputation in critical limb ischemia.",
17,nationwide inpatient sample,regression,2019,0.4931,100.0,198,5881,2015-2018,2019-2022,36,6,129,5,137,11,168,8,187,18,237,14,280,14,368,23,416,46,538,84,598,50,698,52,849,53,941,43,1093,26,1372,17,1496,15,1499,16,1514,6,1448,18,1715,12,2031,"International classification of disease clinical modification 9 modeling of a patient comorbidity score predicts incidence of perioperative complications in a nationwide inpatient sample assessment of complications in spine surgery.
Health care burden of anterior cervical spine surgery: national trends in hospital charges and length of stay, 2000-2009.
Incidental dural tear in cervical spine surgery: analysis of a nationwide database.
The John Insall Award: Morbid obesity independently impacts complications, mortality, and resource use after TKA.
Does HIV infection increase the risk of perioperative complications after THA? A nationwide database study.","Systematic Selection of Key Logistic Regression Variables for Risk Prediction Analyses: A Five-Factor Maximum Model.
Hospitals' adoption of medical device registers: Evidence from the German Arthroplasty Register.
Does Perioperative Hemoglobin A1c Level Affect the Incidence, Pattern and Mortality of Lower Extremity Amputation?
Is the ""Appropriate Use Criteria"" for Type II Supracondylar Humerus Fractures Really Appropriate?
Strength Testing After Anterior Cruciate Ligament Reconstruction: A Prospective Cohort Study Investigating Overlap of Tests.","Inhospital Complications of Patients With Neuromuscular Disorders Undergoing Total Joint Arthroplasty.
Risk Factors for Cerebrospinal Fluid Leak Following Anterior Cervical Discectomy and Fusion.
Disparities in outcomes of patients admitted with diabetic foot infections.
Machine Learning Accurately Predicts Short-Term Outcomes Following Open Reduction and Internal Fixation of Ankle Fractures.
The effect of income and insurance on the likelihood of major leg amputation.",
18,critical limb ischemia,for chronic limb,2020,0.4921,100.0,404,124,2016-2019,2020-2023,3,13,1,27,1,38,0,44,0,66,0,66,1,79,1,82,0,95,2,86,0,89,2,126,0,104,5,90,3,84,8,80,30,67,29,38,36,22,29,29,42,29,38,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Implications of early failure of isolated endovascular tibial interventions.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
Outcomes of isolated inframalleolar interventions for chronic limb-threatening ischemia in diabetic patients.
Comparative 12-Month Outcomes of Drug-Coated Balloon Versus Non-Drug-Coated Balloon Revascularization Strategy in Chronic Limb-Threatening Ischemia: Results From the XLPAD Registry.","The Association of Preoperative Characteristics with Reintervention Risk in Patients Undergoing Revascularization for Chronic Limb-Threatening Ischemia.
Limb-Based Patency After Surgical vs Endovascular Revascularization in Patients with Chronic Limb-Threatening Ischemia.
The Geriatric Nutritional Risk Index predicts amputation after infrapopliteal angioplasty in critical limb ischemia patients.",
19,cli,with clti,2020,0.4915,100.0,256,194,2016-2019,2020-2023,8,8,0,21,0,17,0,22,0,43,0,48,0,61,0,51,0,59,0,51,0,57,0,72,0,75,4,53,4,56,12,47,30,33,50,24,57,18,57,23,73,30,71,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Descriptive title: The body with chronic limb-threatening ischaemia: A phenomenologically derived understanding.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Surgery or Endovascular Therapy for Chronic Limb-Threatening Ischemia.
Relationship between WIfI stage and quality of life at revascularization in the BEST-CLI trial.
Baseline modern medical management in the BEST-CLI trial.
Perioperative complications following open or endovascular revascularization for chronic limb-threatening ischemia in the BEST-CLI Trial.",
20,restenosis,target lesion,2019,0.4899,100.0,90,92,2015-2018,2019-2022,28,0,0,10,2,7,0,12,1,10,9,21,2,23,7,22,14,19,11,23,17,15,12,34,28,23,19,18,13,16,29,16,33,9,21,5,9,14,27,22,56,24,41,"Safety, clinical outcome, and fracture rate of femoropopliteal stenting using a 4F compatible delivery system.
Atheromatous occlusive lesions of the popliteal artery treated with stent grafts: predictive factors of midterm patency.
Angioplasty of femoral-popliteal arteries with drug-coated balloons: 5-year follow-up of the THUNDER trial.
Cervical open-door laminoplasty technique with simple sutures and bone grafts: a single institutional study with 30 consecutive cases.
Paclitaxel-releasing balloon in femoropopliteal lesions using a BTHC excipient: twelve-month results from the BIOLUX P-I randomized trial.","The use of drug-eluting stents in infrapopliteal arteries: an updated systematic review and meta-analysis of randomized trials.
Drug-eluting balloon angioplasty versus uncoated balloon angioplasty for the treatment of in-stent restenosis of the femoropopliteal arteries.
Six-Month Angiographic and Clinical Outcomes of Therapeutic Ultrasound Pretreatment Associated With Plain Balloon Angioplasty for Below-the-Knee Lesions in Patients With Critical Limb Ischemia: A Prospective, Single-Center Pilot Study.
Drug-coated balloon versus uncoated percutaneous transluminal angioplasty for the treatment of atherosclerotic lesions in the superficial femoral and proximal popliteal artery: 2-year results of the MDT-2113 SFA Japan randomized trial.
Drug-Coated Balloon Treatment for Femoropopliteal Artery Disease: The Chronic Total Occlusion Cohort in the IN.PACT Global Study.","The use of drug-eluting stents in infrapopliteal arteries: an updated systematic review and meta-analysis of randomized trials.
Drug-eluting balloon angioplasty versus uncoated balloon angioplasty for the treatment of in-stent restenosis of the femoropopliteal arteries.
Six-Month Angiographic and Clinical Outcomes of Therapeutic Ultrasound Pretreatment Associated With Plain Balloon Angioplasty for Below-the-Knee Lesions in Patients With Critical Limb Ischemia: A Prospective, Single-Center Pilot Study.
Drug-Coated Balloon Treatment for Femoropopliteal Artery Disease: The Chronic Total Occlusion Cohort in the IN.PACT Global Study.
Impact of Plaque Calcification and Stent Oversizing on Clinical Outcomes of Atherosclerotic Femoropopliteal Arterial Occlusive Disease Following Stent Angioplasty.",
21,critical limb ischemia,afs,2020,0.4878,100.0,404,95,2016-2019,2020-2023,7,13,0,27,0,38,0,44,1,66,3,66,4,79,7,82,6,95,11,86,11,89,20,126,13,104,18,90,16,84,14,80,25,67,31,38,19,22,20,29,44,29,36,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Efficacy of antifibrinolytics in pediatric orthopedic surgery: a systematic review and meta-analysis.
The Controlling Nutritional Status Score is Significantly Associated with Complete Ulcer Healing in Patients with Critical Limb Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
Outcomes of isolated inframalleolar interventions for chronic limb-threatening ischemia in diabetic patients.
Mortality Rate of Geriatric Acetabular Fractures Is High Compared With Hip Fractures. A Matched Cohort Study.","The Controlling Nutritional Status Score is Significantly Associated with Complete Ulcer Healing in Patients with Critical Limb Ischemia.
Endovascular or open surgical treatment of high-risk patients with infrainguinal peripheral arterial disease and critical limb ischemia.
End-stage renal disease patients undergoing angioplasty and bypass for critical limb ischemia have worse outcomes compared to non-ESRD patients: Systematic review and meta-analysis.
Could prior endovascular interventions affect the results of lower extremity below the knee autologous vein bypasses?
Validation of ERICVA Risk Score as a Predictor of One Year Amputation-Free Survival of Patients with Critical Limb Ischemia.",
22,patient with cli,limb threatening,2021,0.487,100.0,91,621,2017-2020,2021-2024,4,8,13,10,20,6,11,13,17,20,12,17,24,22,10,18,16,18,6,20,8,23,14,26,16,32,25,20,21,20,38,19,110,13,144,9,145,6,146,2,186,2,193,"A Multicenter Predictive Score for Amputation-Free Survival for Patients Operated on with an Heparin-Bonded ePTFE Graft for Critical Limb Ischemia.
Neutrophil-to-lymphocyte ratio is effective prognostic indicator for post-amputation patients with critical limb ischemia.
Wound Blush Obtainment Is the Most Important Angiographic Endpoint for Wound Healing.
Editor's Choice - Dual Antiplatelet Therapy Improves Outcome in Diabetic Patients Undergoing Endovascular Femoropopliteal Stenting for Critical Limb Ischaemia.
The effect of ambulatory status on outcomes of percutaneous vascular interventions and lower extremity bypass for critical limb ischemia in the Vascular Quality Initiative.","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Phage Therapy for Limb-threatening Prosthetic Knee Klebsiella pneumoniae Infection: Case Report and In Vitro Characterization of Anti-biofilm Activity.
Validation of Global Limb Anatomical Staging System (GLASS) in patients with hemodialysis and Chronic Limb-Threatening Ischemia after endovascular treatment.
Outcomes of open and hybrid treatments in below the knee pathology for critical limb threatening ischemia.
Evaluation of Clinical Outcomes After Revascularization in Patients With Chronic Limb-Threatening Ischemia: Results From a Prospective National Cohort Study (RIVALUTANDO).","Participation in a Chronic Limb Threatening Ischemia Randomized Trial Is Inversely Correlated With Regional Amputation Rate in Limb Threatening Ischemia Patients.
Mesenchymal stem cells for critical limb ischemia: their function, mechanism, and therapeutic potential.
ERICVA Risk Scale simplified as a predictor of amputation in critical limb ischemia.
Revascularisation Options for Chronic Limb Threatening Ischaemia in Diabetes: Implications From Two Recent Trials.",
23,critical limb ischemia,for clti,2020,0.4848,100.0,404,104,2016-2019,2020-2023,4,13,0,27,0,38,0,44,0,66,0,66,0,79,0,82,0,95,0,86,0,89,0,126,0,104,5,90,3,84,8,80,17,67,29,38,31,22,27,29,30,29,44,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","The Association of Preoperative Characteristics with Reintervention Risk in Patients Undergoing Revascularization for Chronic Limb-Threatening Ischemia.
Amputation-free survival, limb symptom alleviation, and reintervention rates after open and endovascular revascularization of femoropopliteal lesions in patients with chronic limb-threatening ischemia.
Improved survival with angiotensin-converting enzyme inhibitors and angiotensin receptor blockers in chronic limb-threatening ischemia.
Endovascular Therapy Provides Similar Results of Bypass Graft Surgery in the Treatment of Infrainguinal Multilevel Arterial Disease in Patients with Chronic Limb-Threatening Ischemia in All GLASS Stages.
Increased Reintervention After Infrainguinal Revascularization for Chronic Limb-Threatening Ischemia in Women.","The Association of Preoperative Characteristics with Reintervention Risk in Patients Undergoing Revascularization for Chronic Limb-Threatening Ischemia.
Impact of homocysteine levels on mortality risk in patients with chronic limb-threatening ischemia undergoing revascularization.
Health Related Quality of Life Over Time After Revascularisation in Patients With Chronic Limb Threatening Ischaemia.
Analysis of Interwoven Nitinol Stenting for the Treatment of Critical Limb Ischemia: Outcomes From an Average 3-Year Follow-up Period.",
24,nationwide inpatient sample,insurance,2018,0.4847,100.0,239,650,2014-2017,2018-2021,13,6,9,5,16,11,22,8,20,18,19,14,31,14,46,23,35,46,70,84,83,50,91,52,98,53,116,43,144,26,173,17,182,15,151,16,188,6,156,18,204,12,191,"International classification of disease clinical modification 9 modeling of a patient comorbidity score predicts incidence of perioperative complications in a nationwide inpatient sample assessment of complications in spine surgery.
Treatment of femoral head osteonecrosis in the United States: 16-year analysis of the Nationwide Inpatient Sample.
Comparison between cervical total disc replacement and anterior cervical discectomy and fusion of 1 to 2 levels from 2002 to 2009.
Health care burden of anterior cervical spine surgery: national trends in hospital charges and length of stay, 2000-2009.
Incidence, outcomes, and mortality of reintubation after anterior cervical fusion.","Comparison of the risk of non-traumatic lower extremity amputation between haemodialysis and peritoneal dialysis patients with end-stage renal disease.
Analysis of National Rates, Cost, and Sources of Cost Variation in Adult Spinal Deformity.
Risk Factors Associated With Failure to Reach Minimal Clinically Important Difference in Patient-reported Outcomes Following Minimally Invasive Transforaminal Lumbar Interbody Fusion for Spondylolisthesis.
Variation in Spine Surgeon Selection Criteria Between Neurosurgery and Orthopedic Surgery Patients.
Increased Volume of Lumbar Surgeries for Herniated Intervertebral Disc Disease and Cost-Effectiveness Analysis: A Nationwide Cohort Study.","Does Parkinson Disease Increase the Risk of Perioperative Complications After Total Hip Arthroplasty? A Nationwide Database Study.
Insurance Status Affects In-Hospital Complication Rates After Total Knee Arthroplasty.
Use of Bone Morphogenetic Protein-2 in Vertebral Column Tumor Surgery: A National Investigation.
Parkinson's disease increases the risk of perioperative complications after total knee arthroplasty: a nationwide database study.
The effect of income and insurance on the likelihood of major leg amputation.",
25,question purpose,level iii,2016,0.4844,100.0,1065,1996,2012-2015,2016-2019,268,0,42,0,40,0,34,0,74,20,65,195,77,249,128,248,152,276,195,317,273,224,303,171,407,135,444,123,500,133,645,128,676,128,608,108,581,75,592,80,747,87,757,"Is percutaneous repair better than open repair in acute Achilles tendon rupture?
Can wedge osteotomy correct depression of the lateral tibial plateau mimicking posterolateral rotatory knee instability?
Can arthroscopically assisted treatment of chronic patellar tendinopathy reduce pain and restore function?
Can tantalum cones provide fixation in complex revision knee arthroplasty?
Single- versus double-bundle ACL reconstruction: is there any difference in stability and function at 3-year followup?","Postoperative Complications After Hip Surgery in Patients With Cerebral Palsy: A Retrospective Matched Cohort Study.
Functional Outcomes After Treatment of Scaphoid Fractures in Children and Adolescents.
The Mark Coventry Award: Custom Cutting Guides Do Not Improve Total Knee Arthroplasty Clinical Outcomes at 2 Years Followup.
Time-driven Activity-based Costing More Accurately Reflects Costs in Arthroplasty Surgery.
Initial Correction Predicts the Need for Secondary Achilles Tendon Procedures in Patients With Idiopathic Clubfoot Treated With Ponseti Casting.","The Mark Coventry Award: Custom Cutting Guides Do Not Improve Total Knee Arthroplasty Clinical Outcomes at 2 Years Followup.
Time-driven Activity-based Costing More Accurately Reflects Costs in Arthroplasty Surgery.
What Can We Learn From 20-year Followup Studies of Hip Replacement?
Wear and Osteolysis of Highly Crosslinked Polyethylene at 10 to 14 Years: The Effect of Femoral Head Size.
What Are the Risk Factors and Management Options for Infection After Reconstruction With Massive Bone Allografts?",
