term,n,y0,udzial_2005,udzial_2006,udzial_2007,udzial_2008,udzial_2009,udzial_2010,udzial_2011,udzial_2012,udzial_2013,udzial_2014,udzial_2015,udzial_2016,udzial_2017,udzial_2018,udzial_2019,udzial_2020,udzial_2021,udzial_2022,udzial_2023,udzial_2024,udzial_2025,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,poprzednik_glowny,tytuly_poprzednika,tytuly_WSPOLNE,kategoria,poprzednik,uwagi
systematic review,2,2014,0.496,0.394,0.82,0.756,1.413,1.501,1.859,2.013,2.518,2.957,3.559,3.712,4.201,4.691,4.999,5.312,6.599,6.903,6.95,7.228,7.612,2025,7.612,7.055,10854,"quasi randomized (lift 9.3, wsp. 26); conclusion on the (lift 8.8, wsp. 24); we undertook a (lift 6.7, wsp. 13); english literature (lift 6.6, wsp. 18); searched the cochrane (lift 6.5, wsp. 15)","[2013] Lateral extracavitary, costotransversectomy, and transthoracic thoracotomy approaches to the thoracic spine: review of techniques and complications. | [2013] Computer-assisted total knee arthroplasty is currently of no proven clinical benefit: a systematic review. | [2013] Prevalence of adjacent segment degeneration after spine surgery: a systematic review and meta-analysis.",[2023] Success Rate of Mandible Implants Placed in Vascularized Fibula Bone Graft: A Systematic Review. | [2023] Evaluation of the Posterior Tilt Angle in Predicting Failure of Nondisplaced Femoral Neck Fractures After Internal Fixation: A Systematic Review. | [2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis.,quasi randomized,[2012] Manipulative interventions for reducing pulled elbow in young children. | [2012] Intramedullary nailing for tibial shaft fractures in adults. | [2012] Surgical versus non-surgical interventions for treating humeral shaft fractures in adults.,[2012] Anatomic Bankart repair compared with nonoperative treatment and/or arthroscopic lavage for first-time traumatic shoulder dislocation. | [2012] Comparison of the minimally invasive and standard medial parapatellar approaches for primary total knee arthroplasty. | [2012] Chinese manipulation for mechanical neck pain: a systematic review.,,,
opioid consumption,2,2014,0.038,0.048,0.047,0.062,0.068,0.092,0.1,0.124,0.21,0.283,0.318,0.374,0.445,0.535,0.664,0.779,0.68,0.872,0.691,0.938,0.983,2025,0.983,0.833,1210,"continuous femoral (lift 69.4, wsp. 14); of bupivacaine (lift 64.9, wsp. 10); continuous infusion (lift 55.8, wsp. 8); epidural analgesia (lift 51.1, wsp. 11); double blind study (lift 40.5, wsp. 7)","[2013] The 2012 Chitranjan Ranawat award: intraarticular analgesia after TKA reduces pain: a randomized, double-blinded, placebo-controlled, prospective study. | [2013] Stabilization of the cervicothoracic junction in tumoral cases with a hybrid less invasive-minimally invasive surgical technique: report of two cases. | [2013] Local infiltration analgesia is comparable to femoral nerve block after anterior cruciate ligament reconstruction with hamstring tendon graft: a randomised controlled trial.","[2023] Pain treatment after total hip arthroplasty: Detailed statistical analysis plan for the RECIPE randomised clinical trial. | [2023] Effect of gabapentin on length of stay, opioid use, and pain scores in posterior spinal fusion for adolescent idiopathic scoliosis: a retrospective review across a multi-hospital system. | [2023] Femoral Nerve Block and Local Instillation Analgesia Associated With More Reliable Efficacy in Regional Anesthesia Interventions Within 24 Hours Following Anterior Cruciate Ligament Reconstruction: A Network Meta-analysis.",continuous femoral,"[2012] Continuous femoral nerve blocks: decreasing local anesthetic concentration to minimize quadriceps femoris weakness. | [2012] Comments on ""Continuous spinal anesthesia versus continuous femoral nerve block for elective total knee replacement"". | [2012] Multimodal periarticular injection vs continuous femoral nerve block after total knee arthroplasty: a prospective, crossover, randomized clinical trial.",[2012] A randomized trial of epidural analgesia followed by continuous femoral analgesia compared with oral opioid analgesia on short- and long-term functional recovery after total knee replacement. | [2012] Comparing the analgesia effects of single-injection and continuous femoral nerve blocks with patient controlled analgesia after total knee arthroplasty. | [2013] Periarticular injection in knee arthroplasty improves quadriceps function.,,,
adult spinal deformity,3,2017,0.064,0.084,0.082,0.062,0.068,0.101,0.05,0.091,0.21,0.223,0.281,0.374,0.577,0.625,0.484,0.476,0.643,0.74,0.781,0.931,0.943,2025,0.943,0.806,1129,"background data there (lift 20.9, wsp. 7); data there (lift 14.8, wsp. 7); well recognized (lift 13.9, wsp. 4); of rigid (lift 12.8, wsp. 5); of background data (lift 12.3, wsp. 92)",[2016] Acute Complications After Adult Spinal Deformity Surgery in Patients Aged 70 Years and Older. | [2016] Detection of Pseudarthrosis in Adult Spinal Deformity: The Use of Health-related Quality-of-life Outcomes to Predict Pseudarthrosis. | [2016] Use of Recombinant Bone Morphogenetic Protein Is Associated With Reduced Risk of Reoperation After Spine Fusion for Adult Spinal Deformity.,[2023] Does the Global Alignment and Proportion score predict mechanical complications in circumferential minimally invasive surgery for adult spinal deformity? | [2023] Junctional Kyphosis after Correction with Long Instrumentation for Late Posttraumatic Thoracolumbar Kyphosis: Characteristics and Risk Factors. | [2023] The use of lateral lumbar interbody fusion for identifying adult patients with spinal deformities treatable by short corrective fusion in 2-stage surgery.,background data there,[2015] Lumbar facet joint effusion on MRI as a sign of unstable degenerative spondylolisthesis: should it influence the treatment decision? | [2015] Prognostic factors for surgical outcomes including preoperative total knee replacement and knee osteoarthritis status in female patients with lumbar spinal stenosis. | [2016] Relationship Between Percutaneous Procedures and Lumbar Infections Based on Data From The National Health Insurance Review & Assessment Service of Korea.,[2017] Impact of Smoking on 30-day Morbidity and Mortality in Adult Spinal Deformity Surgery. | [2017] Timing of Complications Occurring Within 30 Days After Adult Spinal Deformity Surgery. | [2018] Activity of Daily Living After Long Level Fusion in Adult Spinal Deformity: Compared With Over 60-Year-Old Degenerative Spine Patients Without Adult Spinal Deformity.,,,
retrospective observational,2,2015,0.025,0.036,0.035,0.041,0.078,0.074,0.092,0.166,0.172,0.134,0.192,0.245,0.341,0.417,0.458,0.41,0.737,0.657,0.736,0.85,0.93,2025,0.93,0.783,985,"were studied (lift 3.6, wsp. 5)",[2014] The use of multiple needle fasciotomy in Dupuytren disease: retrospective observational study of outcome and patient satisfaction. | [2014] Selection of lower instrumented vertebra in treating Lenke type 2A adolescent idiopathic scoliosis. | [2014] Prosthetic fitting after rotationplasty of the knee.,[2023] Risk Factors of Flexor Tendon Rupture After ORIF of Distal Radius Fracture. | [2023] Antibiotic Cement-Coated Interlocked Intramedullary Nails for the Treatment of Infected Nonunion After Intramedullary Nailing. | [2023] Radiographic alignment outcomes after the single-position prone transpsoas approach: a multi-institutional retrospective review of 363 cases.,were studied,[2013] Pedicle morphology using computed tomography-based navigation system in adolescent idiopathic scoliosis. | [2013] Reamed transacral interbody fusion for L5-s1 pseudoarthrosis: a novel salvage technique in 10 patients. | [2013] Comparison of mechanical and nonmechanical failure rates associated with rotating hinged total knee arthroplasty in nontumor patients.,"[2013] Preoperative indicators of length of stay following total hip replacement: a New Zealand-based retrospective, observational study. | [2014] Patterns of shoulder imbalance in adolescent idiopathic scoliosis: a retrospective observational study. | [2015] Management of paediatric maxillofacial fractures: conventional methods and resorbable materials.",,,
patient acceptable,2,2018,0.0,0.0,0.0,0.01,0.0,0.0,0.008,0.017,0.03,0.015,0.022,0.029,0.049,0.132,0.264,0.369,0.543,0.636,0.699,0.803,0.95,2025,0.95,0.725,679,"iv therapeutic case (lift 24.0, wsp. 6); therapeutic case series (lift 21.3, wsp. 6); clinical success (lift 12.3, wsp. 4); level iv therapeutic (lift 8.3, wsp. 6); hip in (lift 7.5, wsp. 6)",[2018] Clinically Meaningful Improvements After Hip Arthroscopy for Femoroacetabular Impingement in Adolescent and Young Adult Patients Regardless of Gender. | [2017] The Influence of Body Mass Index on Outcomes After Hip Arthroscopic Surgery With Capsular Plication for the Treatment of Femoroacetabular Impingement. | [2017] Total knee replacement: Are there any baseline factors that have influence in patient reported outcomes?,[2023] Patient Acceptable Symptom State Versus Latent Class Analysis Outcome Classification: A Comparative Longitudinal Study of Knee Arthroplasty. | [2023] Minimally Clinically Important Difference (MCID) Is a Low Bar. | [2023] Custom total knee arthroplasty combined with personalised alignment grants 94% patient satisfaction at minimum follow-up of 2 years.,iv therapeutic case,"[2016] Radiographic Outcomes of Hemiepiphyseal Stapling for Distal Radius Deformity Due to Multiple Hereditary Exostoses. | [2016] Lower Extremity Deformity Management in MPS IVA, Morquio-Brailsford Syndrome: Preliminary Report of Hemiepiphysiodesis Correction of Genu Valgum. | [2016] Guided Growth of the Proximal Femur for Hip Displacement in Children With Cerebral Palsy.",[2018] Clinically Meaningful Improvements After Hip Arthroscopy for Femoroacetabular Impingement in Adolescent and Young Adult Patients Regardless of Gender. | [2018] The Influence of Pain in Other Major Joints and the Spine on 2-Year Outcomes After Hip Arthroscopy. | [2019] Return to Dance and Predictors of Outcome After Hip Arthroscopy for Femoroacetabular Impingement Syndrome.,,,
a propensity,2,2016,0.013,0.048,0.023,0.01,0.029,0.037,0.025,0.041,0.067,0.074,0.111,0.18,0.195,0.243,0.368,0.434,0.512,0.65,0.631,0.823,0.956,2025,0.956,0.714,800,"of background data (lift 3.4, wsp. 9); summary of background (lift 3.4, wsp. 9); on the basis (lift 3.2, wsp. 4); the basis of (lift 3.1, wsp. 4)","[2015] Operative versus nonoperative treatment of displaced proximal humeral physeal fractures: a matched cohort. | [2015] Propensity score matching and randomization. | [2015] Differences in the outcomes of anterior versus posterior interbody fusion surgery of the lumbar spine: a propensity score-controlled cohort analysis of 10,941 patients.",[2023] Similar short-term KOOS between open-wedge high tibial osteotomy and total knee arthroplasty in patients over age 60: A propensity score-matched cohort study. | [2023] Comparison of the clinical outcomes following total knee arthroplasty in osseous ankylosed and non-ankylosed knees using propensity-score matching. | [2023] Total Knee Replacement After Arthroscopic Meniscectomy in Knee Osteoarthritis: A Nationwide Population-Based Cohort Study.,of background data,[2018] Clinical and Radiological Mid-Term Outcomes of Lumbar Single-Level Total Disc Replacement. | [2014] Risk factors for adjacent segment disease after posterior lumbar interbody fusion and efficacy of simultaneous decompression surgery for symptomatic adjacent segment disease. | [2014] The effect of a mismatched center of rotation on the clinical outcomes and flexion-extension range of motion: lumbar total disk replacement using mobidisc at a 5.5-year follow-up.,[2014] Spine surgeon specialty is not a risk factor for 30-day complication rates in single-level lumbar fusion: a propensity score-matched study of 2528 patients. | [2014] Preoperative anemia does not predict complications after single-level lumbar fusion: a propensity score-matched multicenter study. | [2015] Morbidity and Mortality After Vertebral Fractures: Comparison of Vertebral Augmentation and Nonoperative Management in the Medicare Population.,,,
tranexamic acid,2,2013,0.102,0.072,0.07,0.104,0.078,0.111,0.167,0.224,0.412,0.454,0.592,0.842,0.932,0.876,0.935,0.904,0.93,0.65,0.624,0.702,0.542,2019,0.935,0.695,1478,"autologous blood (lift 32.2, wsp. 13); bolus (lift 24.6, wsp. 9); packed (lift 20.8, wsp. 7); blood and (lift 19.9, wsp. 7); infusion of (lift 18.3, wsp. 9)","[2012] Are antifibrinolytics helpful in decreasing blood loss and transfusions during spinal fusion surgery in children with cerebral palsy scoliosis? | [2012] [Tranexamic acid reduces blood loss after major elective orthopaedic operations]. | [2012] Evaluation of the efficacy of tranexamic acid on blood loss in orthognathic surgery. A prospective, randomized clinical study.",[2023] Value of Tranexamic Acid and Progressive Nursing in Accelerating Postoperative Rehabilitation After Total Knee Arthroplasty. | [2023] Effect of Topical Administration of Tranexamic Acid on Intraoperative and Postoperative Blood Loss during Posterior Cervical Laminectomy and Fusion Surgery: A Retrospective Study. | [2023] Predisposing factors for allogeneic blood transfusion in patients with ankylosing spondylitis undergoing primary unilateral total hip arthroplasty: a retrospective study.,autologous blood,"[2011] Blood, bugs, and motion - what do we really know in regard to total joint arthroplasty? | [2011] Who needs autologous blood donation in joint replacement? | [2011] Comparison of unilateral and rapidly staged bilateral hip resurfacing arthroplasty.",[2012] Tranexamic acid reduces blood loss and financial cost in primary total hip and knee replacement surgery. | [2013] Repeat-dose intravenous tranexamic acid further decreases blood loss in total knee arthroplasty. | [2012] [How to improve perioperative blood management in patients undergoing total hip or knee replacement surgery?].,,,
covid 19,2,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.285,1.011,0.878,0.669,0.432,0.375,2020,1.285,0.677,714,"waiting list (lift 35.5, wsp. 10); polymerase chain reaction (lift 22.0, wsp. 16); early experience (lift 15.0, wsp. 6); division of (lift 13.0, wsp. 5); caused a (lift 12.9, wsp. 6)",[2020] What's Important: Facing Fear in the Time of COVID-19. | [2020] What's Important: What Is Our Role in the COVID-19 Pandemic? | [2020] Preparing to Perform Trauma and Orthopaedic Surgery on Patients with COVID-19.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2023] Diabetes-related Amputations During COVID-19: A Pandemic Within a Pandemic.",waiting list,"[2018] Total Knee Replacement and the Effect of Technology on Cocreation for Improved Outcomes and Delivery: Qualitative Multi-Stakeholder Study. | [2018] Paraplegia as a presentation of primary hyperoxaluria. | [2018] Improving physical activity, pain and function in patients waiting for hip and knee arthroplasty by combining targeted exercise training with behaviour change counselling: study protocol for a randomised controlled trial.",[2020] Operating room efficiency and timing during coronavirus disease 2019 outbreak in a referral orthopaedic hospital in Northern Italy. | [2020] Returning to Elective Orthopedic Surgery During the COVID-19 Pandemic: A Multidisciplinary and Pragmatic Strategy for Initial Patient Selection. | [2020] Resuming elective hip and knee arthroplasty in the COVID-19 era: a unique insight into patient risk aversion and sentiment.,,,
study from,2,2020,0.102,0.072,0.094,0.166,0.127,0.203,0.218,0.232,0.24,0.231,0.274,0.237,0.369,0.354,0.374,0.446,0.562,0.643,0.729,0.641,0.749,2025,0.749,0.662,984,"birmingham (lift 23.9, wsp. 5); study level ii (lift 19.6, wsp. 4); hip resurfacing (lift 7.1, wsp. 6); seen with (lift 6.2, wsp. 4); survived (lift 6.1, wsp. 6)",[2019] The Rates of LSS Surgery in Norwegian Public Hospitals: A Threefold Increase From 1999 to 2013. | [2019] Treating fractures in upper limb gunshot injuries: The Cape Town experience. | [2019] The Utility of Hip Arthroscopy in the Setting of Acetabular Dysplasia: A Systematic Review.,"[2023] Does the use of postoperative brace help preventing mechanical complications following adult deformity surgery? | [2023] Comparison of Outcomes Following Total Hip Arthroplasty Between Patients Diagnosed with Association Research Circulation Osseous (ARCO) Stage III and Stage IV Osteonecrosis of the Femoral Head: A Retrospective Study of 302 Patients. | [2023] Leveraging large, real-world data through machine-learning to increase efficiency in robotic-assisted total knee arthroplasty.",birmingham,[2018] 10-year results of the Birmingham Hip Resurfacing: a non-designer case series. | [2018] Numbness of the lower lip does not adversely affect quality of life or patients' satisfaction after mandibular orthognathic surgery. | [2018] Development and validation of two clinical prediction models to inform clinical decision-making for lumbar spinal fusion surgery for degenerative disorders and rehabilitation following surgery: protocol for a prospective observational study.,[2020] Is the Survivorship of Birmingham Hip Resurfacing Better Than Selected Conventional Hip Arthroplasties in Men Younger Than 65 Years of Age? A Study from the Australian Orthopaedic Association National Joint Replacement Registry. | [2020] CORR Insights®: Is the Survivorship of Birmingham Hip Resurfacing Better Than Selected Conventional Hip Arthroplasties in Men Younger Than 65 Years of Age? A Study from the Australian Orthopaedic Association National Joint Replacement Registry. | [2021] Letter to the Editor: Is the Survivorship of Birmingham Hip Resurfacing Better Than Selected Conventi,,,
printing,1,2014,0.0,0.0,0.0,0.01,0.029,0.028,0.008,0.008,0.037,0.134,0.155,0.266,0.529,0.625,0.632,0.72,0.624,0.643,0.609,0.641,0.642,2020,0.72,0.632,940,"rapid prototyping (lift 68.0, wsp. 8); the computer (lift 32.6, wsp. 5); ct scanning (lift 29.7, wsp. 4); scanning (lift 18.0, wsp. 11); of the tumor (lift 16.0, wsp. 4)",[2013] Construction and accuracy assessment of patient-specific biocompatible drill template for cervical anterior transpedicular screw (ATPS) insertion: an in vitro study. | [2013] A novel method of computer aided orthognathic surgery using individual CAD/CAM templates: a combination of osteotomy and repositioning guides. | [2013] Multistep pedicle screw insertion procedure with patient-specific lamina fit-and-lock templates for the thoracic spine: clinical article.,[2023] C2 pedicle screw placement on 3D-printed models for the performance assessment of CTA-based screw preclusion. | [2023] Three-dimensional printing designed customized plate in the treatment of coronal fracture of distal humerus in teenager: A case report. | [2023] The optimal design of 3D-printed lattice bone plate by considering fracture healing mechanism.,rapid prototyping,[2012] Multiscale design and multiobjective optimization of orthopedic hip implants with functionally graded cellular material. | [2012] Development of a new technique for pedicle screw and Magerl screw insertion using a 3-dimensional image guide. | [2012] The design and rapid prototyping of surgical guides and bone plates to support iliac free flaps for mandible reconstruction.,[2013] Construction and accuracy assessment of patient-specific biocompatible drill template for cervical anterior transpedicular screw (ATPS) insertion: an in vitro study. | [2014] Mandibular reconstruction using plates prebent to fit rapid prototyping 3-dimensional printing models ameliorates contour deformity. | [2015] Application of 3D rapid prototyping technology in posterior corrective surgery for Lenke 1 adolescent idiopathic scoliosis patients.,,,
of return to,3,2017,0.064,0.072,0.117,0.114,0.127,0.092,0.151,0.257,0.21,0.201,0.318,0.331,0.473,0.493,0.51,0.476,0.718,0.692,0.609,0.533,0.562,2021,0.718,0.624,1005,"the mean lysholm (lift 17.7, wsp. 5); iv therapeutic case (lift 13.8, wsp. 10); mean lysholm (lift 12.0, wsp. 5); therapeutic case series (lift 11.3, wsp. 9); autologous chondrocyte (lift 10.8, wsp. 7)",[2016] Outcomes and Complications of Tibial Tubercle Fractures in Pediatric Patients: A Systematic Review of the Literature. | [2016] Asymmetrical Lower Extremity Loading Early After Anterior Cruciate Ligament Reconstruction Is a Significant Predictor of Asymmetrical Loading at the Time of Return to Sport. | [2016] Sternoclavicular Reconstruction in the Young Active Patient: Risk Factor Analysis and Clinical Outcomes at Short-Term Follow-up.,[2023] Rehabilitation and Return to Work and Sport After Rotator Cuff. | [2023] Outcomes of Tibiotalocalcaneal Hindfoot Fusion Nails Used for Acute Lower Extremity Trauma in a High-Risk Patient Population. | [2023] Improvement following minimally invasive transforaminal lumbar interbody fusion in patients aged 70 years or older compared with younger age groups.,the mean lysholm,[2015] Long-term results of arthroscopic reshaping for symptomatic discoid lateral meniscus in children. | [2015] Which patients are less likely to improve during the first year after arthroscopic partial meniscectomy? A multivariate analysis of 201 patients with prospective follow-up. | [2015] Prone and direct posterior approach for management of posterior column tibial plateau fractures.,"[2016] Comparison Between Single- and Double-Bundle Anterior Cruciate Ligament Reconstruction With 6- to 8-Stranded Hamstring Autograft: A Prospective, Randomized Clinical Trial. | [2016] Arthroscopic transphyseal anterior cruciate ligament reconstruction in adolescent athletes. | [2017] Anterior cruciate ligament revision with Achilles tendon allograft in young athletes.",,,
pandemic,1,2020,0.0,0.0,0.012,0.031,0.0,0.0,0.008,0.0,0.007,0.0,0.0,0.0,0.014,0.014,0.006,0.987,0.824,0.823,0.601,0.371,0.288,2020,0.987,0.583,606,"waiting list (lift 42.7, wsp. 10); polymerase chain reaction (lift 16.6, wsp. 10); division of (lift 15.6, wsp. 5); caused a (lift 15.5, wsp. 6); early experience (lift 15.1, wsp. 5)",[2019] Obesity Disease Pandemic on Joint Disease and Longevity. | [2020] What's Important: What Is Our Role in the COVID-19 Pandemic? | [2020] Guidelines for Ambulatory Surgery Centers for the Care of Surgically Necessary/Time-Sensitive Orthopaedic Cases During the COVID-19 Pandemic.,"[2023] All Feet on Deck: The Role of Podiatry During the COVID-19 Pandemic: Preventing Hospitalizations in an Overburdened Health-Care System, Reducing Amputation and Death in People with Diabetes. | [2023] Diabetes-Related Major and Minor Amputation Risk Increased During the COVID-19 Pandemic. | [2023] Diabetes-related Amputations During COVID-19: A Pandemic Within a Pandemic.",waiting list,"[2018] Total Knee Replacement and the Effect of Technology on Cocreation for Improved Outcomes and Delivery: Qualitative Multi-Stakeholder Study. | [2018] Paraplegia as a presentation of primary hyperoxaluria. | [2018] Improving physical activity, pain and function in patients waiting for hip and knee arthroplasty by combining targeted exercise training with behaviour change counselling: study protocol for a randomised controlled trial.",[2020] Operating room efficiency and timing during coronavirus disease 2019 outbreak in a referral orthopaedic hospital in Northern Italy. | [2020] Returning to Elective Orthopedic Surgery During the COVID-19 Pandemic: A Multidisciplinary and Pragmatic Strategy for Initial Patient Selection. | [2021] Is it safe yet? Patient readiness and perceptions about returning to hospital for planned orthopaedic care.,,,
3d printing,2,2014,0.0,0.0,0.0,0.01,0.01,0.018,0.0,0.008,0.007,0.119,0.133,0.223,0.466,0.521,0.613,0.654,0.574,0.567,0.571,0.58,0.602,2020,0.654,0.579,844,"rapid prototyping (lift 52.1, wsp. 5); the computer (lift 31.9, wsp. 4); of the tumor (lift 19.6, wsp. 4); scanning (lift 18.0, wsp. 9); skull (lift 13.9, wsp. 4)","[2013] A novel method of computer aided orthognathic surgery using individual CAD/CAM templates: a combination of osteotomy and repositioning guides. | [2014] The marine sponge-derived inorganic polymers, biosilica and polyphosphate, as morphogenetically active matrices/scaffolds for the differentiation of human multipotent stromal cells: potential application in 3D printing and distraction osteogenesis. | [2014] Bone regenerative medicine: classic options, novel strategies, and future directions.",[2023] C2 pedicle screw placement on 3D-printed models for the performance assessment of CTA-based screw preclusion. | [2023] Three-dimensional printing designed customized plate in the treatment of coronal fracture of distal humerus in teenager: A case report. | [2023] The optimal design of 3D-printed lattice bone plate by considering fracture healing mechanism.,rapid prototyping,[2012] Multiscale design and multiobjective optimization of orthopedic hip implants with functionally graded cellular material. | [2012] Development of a new technique for pedicle screw and Magerl screw insertion using a 3-dimensional image guide. | [2012] The design and rapid prototyping of surgical guides and bone plates to support iliac free flaps for mandible reconstruction.,[2015] Application of 3D rapid prototyping technology in posterior corrective surgery for Lenke 1 adolescent idiopathic scoliosis patients. | [2015] Application of the polystyrene model made by 3-D printing rapid prototyping technology for operation planning in revision lumbar discectomy. | [2015] Custom Acetabular Cages Offer Stable Fixation and Improved Hip Scores for Revision THA With Severe Bone Defects.,,,
biomarker,1,2014,0.025,0.048,0.023,0.01,0.068,0.12,0.134,0.166,0.142,0.223,0.296,0.259,0.313,0.347,0.451,0.428,0.574,0.436,0.466,0.439,0.749,2025,0.749,0.536,821,"expression in (lift 20.5, wsp. 4); mrna (lift 20.3, wsp. 4); in animal (lift 16.6, wsp. 4); polymerase chain reaction (lift 16.5, wsp. 4); pathogenesis of (lift 16.0, wsp. 5)",[2013] Total hip replacement but not clinical osteoarthritis can be predicted by the shape of the hip: a prospective cohort study (CHECK). | [2013] Imaging biomarker with T1ρ and T2 mappings in osteoarthritis - in vivo human articular cartilage study. | [2013] Can urinary excretion rate of 8-isoprostrane and malonaldehyde predict postoperative cognitive dysfunction in aging?,"[2023] Individual participant data meta-analysis of metabolomics on sustained knee pain in primary osteoarthritis patients. | [2023] Quantitative MRI Biomarkers to Predict Risk of Reinjury Within 2 Years After Bridge-Enhanced ACL Restoration. | [2023] Influence of traumatic lower-limb amputation on physical activity, body composition, and cardiometabolic risks: A descriptive preliminary study.",expression in,[2012] Functional folate receptor beta-expressing macrophages in osteoarthritis synovium and their M1/M2 expression profiles. | [2012] Expression patterns of Notch receptors and their ligands in human osteoarthritic and healthy articular cartilage. | [2012] Activation of Indian hedgehog promotes chondrocyte hypertrophy and upregulation of MMP-13 in human osteoarthritic cartilage.,[2012] Serum proteomics of early postoperative cognitive dysfunction in elderly patients. | [2014] Possible effects of metallosis on spermatozoal apoptotic genes expression in individuals with intramedullary nailing prosthesis. | [2014] The host response: Toll-like receptor expression in periprosthetic tissues as a biomarker for deep joint infection.,,,
lateral lumbar,2,2016,0.051,0.048,0.059,0.021,0.049,0.055,0.059,0.041,0.157,0.209,0.178,0.273,0.285,0.299,0.322,0.393,0.518,0.567,0.601,0.466,0.488,2023,0.601,0.526,736,"visceral (lift 43.8, wsp. 8); in lateral bending (lift 43.5, wsp. 5); the disc space (lift 40.6, wsp. 7); disc space (lift 33.7, wsp. 16); the neural (lift 31.3, wsp. 5)","[2015] Minimally Invasive Lateral Lumbar Interbody Fusion: Clinical and Radiographic Outcome at a Minimum 2-year Follow-up. | [2015] Aortic perforation during lateral lumbar interbody fusion. | [2016] ""Push-Through"" Rod Passage Technique for the Improvement of Lumbar Lordosis and Sagittal Balance in Minimally Invasive Adult Degenerative Scoliosis Surgery.","[2023] Retrospective Analysis of Paraspinal Muscle-Splitting Microscopic-Assisted Discectomy Versus Percutaneous Endoscopic Lumbar Discectomy for the Treatment of Far-Lateral Lumbar Disc Herniation. | [2023] Extreme Lateral Lumbar Interbody Fusion Surgery with a Robot-Assisted System in a Swine Model. | [2023] Multilevel tandem spondylolisthesis associated with a reduced ""safe zone"" for a transpsoas lateral lumbar interbody fusion at L4-5.",visceral,[2014] [Complications after osteosynthetic treatment of acetabular fractures]. | [2014] [Current treatment of pelvic ring fractures]. | [2014] Comparison of external radiotherapy and percutaneous vertebroplasty for spinal metastasis.,"[2015] Aortic perforation during lateral lumbar interbody fusion. | [2014] Comparison of the different surgical approaches for lumbar interbody fusion. | [2016] Lateral Lumbar Interbody Fusion: Indications, Outcomes, and Complications.",,,
in individual with,3,2022,0.115,0.048,0.07,0.093,0.078,0.166,0.109,0.149,0.135,0.156,0.185,0.259,0.209,0.278,0.31,0.274,0.35,0.422,0.473,0.499,0.87,2025,0.87,0.522,733,"of loading (lift 20.5, wsp. 4); of the intact (lift 18.8, wsp. 8); muscle of (lift 17.6, wsp. 4); hip in (lift 4.8, wsp. 7); design prospective (lift 3.9, wsp. 4)",[2021] Trunk Muscle Endurance in Individuals With and Without a History of Anterior Cruciate Ligament Reconstruction. | [2021] Three-Dimensional Analysis of Craniofacial Structures of Individuals With Nonsyndromic Unilateral Complete Cleft Lip and Palate. | [2022] Costs of Joint Replacement in Osteoarthritis: A Study Using the National Joint Registry and Clinical Practice Research Datalink Data Sets.,"[2023] Immediate Effects of Walking With a Knee Brace After Anterior Cruciate Ligament Reconstruction: A Biomechanical, Biochemical, and Structural Approach. | [2023] Antimicrobial Remedies and Emerging Strategies for the Treatment of Diabetic Foot Ulcers. | [2023] Improvement Trajectories in Patient-Reported Outcomes Between Males and Females After Anterior Cruciate Ligament Reconstruction.",of loading,[2020] The sandwich osteotomy technique to treat vertical alveolar bone defects prior to implant placement: a systematic review. | [2020] Experimental shortening of the radius in the treatment of Kienböck's disease. | [2020] Effects of focal metallic implants on opposing cartilage - an in-vitro study with an abrasion test machine.,"[2022] Running footstrike pattern effect on lower extremity work in an individual with transtibial amputation. | [2023] Absent loading response knee flexion: The impact on gait kinetics and centre of mass motion in individuals with unilateral transfemoral amputation, and the effect of microprocessor controlled knee provision. | [2024] Dynamics of Center of Pressure Trajectory in Gait: Unilateral Transfemoral Amputees Versus Non-Disabled Individuals.",,,
